"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"electric candle warmer wax melter",,,2,316,316,-5,0.84,0.68,1.36,258,">1,000",8,1,0,1,0
"candle warmer lamp brass",,,7,343,262,1,,,,158,764,8,1,0,1,1
"candle warmer light with timer",33.3,11.1,2,407,407,14,,,,190,">1,000",8,1,0,1,1
"dimmable candle warmer lamp",20.6,12.9,48,"1,594","1,594",41,0.88,0.65,1.23,580,">1,000",29,1,9,1,1
"adjustable candle warmer lamp with timer",14.9,15.4,2,393,368,6,0.87,0.6,1.2,298,">936",8,1,1,1,0
"mikasa electric candle warmer lamp",,,1,423,274,"n/a",,,,92,648,8,1,0,1,0
"coffee candle warmer",,,2,121,241,61,,,,280,">2,000",8,1,0,1,0
"aurora candle warmer lamp",,,2,493,271,28,,,,270,550,8,1,2,1,0
"candle warmer lamp cute",27.8,,1,538,351,-8,,,,335,653,8,1,0,1,0
"candle warmer lamp tigqiang",,,7,508,277,56,,,,171,545,8,1,0,1,0
"mini candle warmer lamp",29,25,5,680,365,99,,,,227,537,8,1,0,1,1
"battery candle warmer",36,33.3,2,821,821,5,0.85,0.67,1.21,522,">1,000",11,1,0,1,1
"glass candle warmer",39.5,,14,415,415,12,0.88,0.59,1.22,314,">1,000",8,1,5,1,1
"black candle warmer lamp with timer",32.5,16.7,7,473,324,34,1.08,0.75,1.45,259,">685",8,1,3,1,0
"candle warmer lamp men",,,13,715,396,-12,,,,168,554,8,1,0,1,0
"candle warmer lamp brown",,,2,505,283,1,,,,167,560,8,1,0,1,0
"candle warmer lamp flower shape",,,4,686,341,161,,,,131,497,8,1,0,1,0
"candle warmer lamp vintage style",28,25,1,519,296,-6,,,,324,570,8,1,0,1,1
"candle warmer lamp with timer adjustable",,,4,336,311,"n/a",,,,122,">925",8,1,0,1,0
"office candle warmer",,,1,134,268,"n/a",,,,134,">2,000",8,1,0,1,1
"wax melt warmer tea light candle",30.3,20,7,370,319,-16,0.52,0.43,0.75,281,">863",8,1,0,1,0
"engpure candle warmer lamp",78.8,57.2,13,779,408,24,0.96,0.72,1.27,257,524,8,1,0,1,1
"candle warmer flower lamp",53.7,,3,786,437,4,0.84,0.64,1.16,258,556,8,1,0,1,0
"large candle warmer",29.3,26.2,63,413,"2,063",32,0.68,0.47,1.05,511,">5,000",29,1,6,1,1
"seenlast candle warmer lamp",85.1,61.1,16,"1,084",581,38,0.84,0.58,1.13,457,536,9,1,0,1,1
"battery powered candle warmer",34,,1,815,698,-20,0.86,0.64,1.19,358,">856",10,1,0,1,0
"candle warmer 2 in 1",,,3,367,216,-19,,,,290,589,8,1,0,1,0
"western candle warmer",,,1,351,259,-6,,,,310,">737",8,1,0,1,1
"mocosa candle warmer lamp",,,16,470,247,"n/a",,,,128,525,8,1,0,1,0
"mikasa electric candle warmer",,,1,507,282,"n/a",,,,124,556,8,1,0,1,0
"candle warmer lamp skjrvrh",,,9,480,256,"n/a",,,,102,533,8,1,0,1,0
"candle warmer lamp with timer",13.2,8.6,660,"34,901","34,901",69,0.84,0.56,1.18,528,">1,000",75,1,28,1,1
"yuichoy candle warmer lamp with timer",87.7,72.7,14,"3,738","1,940",20,0.83,0.64,1.09,386,519,27,1,0,1,0
"candle warmer etc",,,1,45,268,"1,033",,,,171,">6,000",8,1,0,1,0
"unique candle warmer",,,9,253,253,33,,,,355,">1,000",8,1,0,1,1
"candle warmer plate with timer",37,40,19,759,644,29,0.77,0.52,1.11,468,">848",10,1,3,1,1
"candle warmer lamp adjustable",26.2,16.7,24,739,698,102,0.9,0.61,1.21,365,">945",10,1,3,1,1
"candle warmers etc",45.8,25,3,65,392,-3,1.01,0.73,1.27,341,">6,000",8,1,0,1,0
"tulip candle warmer lamp",50,33.3,11,542,283,37,,,,244,522,8,1,0,1,0
"candle warmer lamp with timer black",42.4,16.7,2,470,381,18,,,,202,">810",8,1,0,1,0
"electric candle warmer with timer",18,16.7,4,367,367,33,1.01,0.79,1.26,347,">1,000",8,1,1,1,1
"vintage candle warmer",36.4,,7,620,400,5,0.74,0.52,1.03,285,">645",8,1,2,1,1
"light for candle warmer lamp",43.4,52.4,11,428,428,13,,,,245,">1,000",8,1,0,1,0
"candle warmer lamp black",24.7,24.5,56,"4,298","3,116",58,0.88,0.64,1.17,519,">725",29,1,2,1,1
"soilsiu candle warmer lamp",,,12,397,213,-30,0.9,0.76,1.22,277,536,8,1,0,1,1
"candle warmer wireless",31.4,50,1,511,423,-2,,,,361,828,8,1,0,1,0
"mikasa candle warmer lamp",48.5,33.3,13,"1,410",764,43,0.93,0.7,1.19,304,542,11,1,0,1,1
"candle warmer battery operated",29.5,,7,"1,162","1,162",-4,0.84,0.62,1.18,680,">1,000",26,1,0,1,0
"candle warmer modern",23.5,20,1,441,423,5,0.84,0.58,1.19,370,">959",8,1,0,1,1
"farmhouse candle warmer lamp",22.7,18.7,41,"3,299","1,940",37,0.75,0.52,1.06,481,588,27,1,0,1,1
"3 wick candle warmer lamp",35.3,33.3,16,861,516,52,0.89,0.64,1.23,312,599,9,1,0,1,1
"candle warmer cordless",47.6,,2,517,517,8,0.81,0.54,1.1,349,">1,000",9,1,0,1,1
"large candle warmer lamp for 3 wick candles",31.4,6.7,31,"1,948","1,165",46,0.84,0.6,1.16,514,598,26,1,0,1,0
"trademark candle warmer lamp",32.1,100,2,829,437,-1,0.86,0.67,1.13,152,527,8,1,0,1,1
"skjrvrh candle warmer lamp",,,11,536,280,"n/a",,,,60,522,8,1,0,1,0
"candle warmer lamp adjustable height with timer",36,100,2,436,346,94,0.86,0.61,1.14,262,">794",8,1,0,1,0
"tigqiang candle warmer lamp",,,22,503,262,26,,,,225,521,8,1,0,1,0
"yuichoy candle warmer lamp",94.1,100,10,"1,464",764,8,0.79,0.59,1.06,241,522,11,1,0,1,0
"large candle warmer plate",48.1,30.8,11,404,404,4,0.79,0.59,1.07,254,">1,000",8,1,7,1,1
"geezo fragrance candle warmer lamp，electric candle warmer with timer & dimmer，mom christmas birthday",,,18,448,225,-11,,,,195,502,8,1,0,1,0
"battery operated candle warmer",19.9,15.8,7,"2,981","2,981",0,0.82,0.61,1.23,785,">1,000",28,1,1,1,1
"candle warmer wax melts",21.2,14.3,39,616,"1,232",-30,0.68,0.49,0.91,592,">2,000",26,1,1,1,1
"cool candle warmer",,,8,213,213,308,,,,300,">1,000",8,1,0,1,1
"smart candle warmer",35.9,20,1,365,365,20,,,,227,">1,000",8,1,6,1,0
"candle warmer lamp crystal",46.7,,1,697,388,32,,,,285,">557",8,1,0,1,1
"cloud candle warmer lamp",88.2,50,4,553,364,40,0.8,0.68,0.89,255,658,8,1,0,1,0
"farmhouse candle warmer lamp with timer",38.7,,5,608,349,-7,,,,171,574,8,1,0,1,0
"dish candle warmer",,,6,372,372,"n/a",,,,82,">1,000",8,1,0,1,0
"candle warmer lamp amber",,,9,557,311,36,0.95,0.66,1.37,254,558,8,1,0,1,0
"candle warmer lamp flower",38,34.2,40,"3,960","2,194",13,0.72,0.52,0.96,501,554,27,1,0,1,0
"candle warmers on sale",28.2,,3,511,351,43,,,,253,687,8,1,0,1,0
"three wick candle warmer",,,6,285,238,-10,,,,164,836,8,1,0,1,0
"dimmable flower candle warmer lamp with timer, vintage candle lamp warmer for jar candle, 2024 women",,,10,530,268,4,,,,253,506,8,1,0,1,0
"candle melts warmer",28.9,42.9,3,78,391,-3,0.66,0.49,0.79,338,">5,000",8,1,0,1,0
"candle warmer for 3 wick candles",35.6,37.5,12,721,644,46,0.93,0.62,1.18,477,">893",10,1,0,1,0
"portable candle warmer",,,1,302,259,"n/a",,,,147,">857",8,1,0,1,0
"candle warmer pad",,,7,264,213,"n/a",,,,77,">806",8,1,0,1,1
"candle warmer vintage",,,1,401,250,86,,,,241,">624",8,1,0,1,1
"aesthetic candle warmer",36,,1,536,364,90,,,,241,">679",8,1,0,1,1
"candle warmer adjustable lamp",,,8,140,280,"n/a",,,,102,">2,000",8,1,1,1,0
"candle warmer lamp with timer adjustable height",,,16,362,289,"n/a",,,,87,">799",8,1,0,1,0
"3 wick candle warmer",21.8,6.3,29,"1,776","1,092",46,0.7,0.43,0.97,517,615,26,1,0,1,1
"lamp candle warmer black",,,5,253,253,"n/a",,,,95,">1,000",8,1,0,1,0
"rustic candle warmer",16.3,37.5,5,422,372,-8,0.86,0.61,1.23,337,">882",8,1,0,1,1
"seenlast candle warmer lamp with timer dimmer adjustable",,,17,435,235,-16,,,,242,540,8,1,0,1,0
"geezo candle warmer lamp",80.6,50,5,695,362,27,0.92,0.61,1.06,187,521,8,1,0,1,0
"candle wax warmer electric",28.8,33.3,17,259,517,2,0.72,0.54,0.92,363,">2,000",9,1,0,1,1
"candle warmer lamp clear glass",,,1,361,280,"n/a",,,,160,775,8,1,0,1,1
"goloza candle warmer lamp",,,1,532,283,"n/a",,,,97,532,8,1,0,1,0
"bronze candle warmer lamp",30.6,,4,630,354,-1,,,,146,562,8,1,1,1,1
"amber candle warmer lamp",,,7,597,341,83,0.96,0.8,1.25,276,571,8,1,0,1,1
"candle warmer set",,,2,67,336,43,1.02,0.74,1.24,305,">5,000",8,1,0,1,1
"candles warmers",,,12,61,244,"n/a",,,,125,">4,000",8,1,0,1,0
"candle warmer lamp￼",31.4,36.4,1,420,420,24,1,0.75,1.31,322,">1,000",8,1,0,1,0
"candle warmer lamp amber glass",,,9,315,216,"n/a",,,,106,685,8,1,0,1,1
"candle warmer bath and body works",,,5,280,280,195,,,,121,">1,000",8,1,0,1,0
"candle warmer silver",31.7,50,4,291,581,5,0.96,0.67,1.19,434,"2,000",9,1,0,1,1
"candle plate warmer",33.3,16.7,6,367,367,12,0.76,0.57,1.16,324,">1,000",8,1,0,1,0
"glass candle warmer lamp",22.7,30,18,945,762,60,0.9,0.65,1.21,291,">806",11,1,3,1,1
"wax warmer for candles",26.3,50,11,42,424,1,0.77,0.6,1.25,371,">10,000",8,1,0,1,0
"light candle warmer",22.1,15.4,15,437,437,25,1.06,0.73,1.42,405,">1,000",8,1,0,1,1
"black candle warmer lamp",27.2,32.9,97,"3,701","2,698",82,0.91,0.66,1.15,426,">729",28,1,2,1,1
"candle warmer with remote",42.9,11.1,12,854,421,11,0.95,0.68,1.36,196,493,8,1,0,1,1
"coffee mug candle warmer",,,6,222,222,"1,878",,,,140,">1,000",8,1,0,1,0
"candle warmer with light",26.9,,1,37,372,20,,,,301,">10,000",8,1,0,1,1
"candle warmer wax melter",,,7,142,283,33,1.02,0.8,1.28,230,">2,000",8,1,1,1,1
"candle warmer with timer and auto shut off",23.6,17.3,46,"1,740","1,232",34,0.73,0.47,1.02,445,708,26,1,0,1,0
"candle warmer lamp on sale",,,7,485,268,"n/a",,,,93,553,8,1,0,1,0
"candle warmer lamp with candle",34.4,16.7,8,424,424,117,1.22,0.88,1.41,493,">1,000",8,1,0,1,0
"candle warmer￼",30.2,25,17,35,698,50,0.95,0.64,1.23,407,">20,000",10,1,0,1,0
"mug candle warmer",,,3,314,314,137,,,,130,">1,000",8,1,0,1,1
"black candle warmer",26.7,33.3,35,"1,232","1,232",16,0.91,0.64,1.22,529,">1,000",27,1,5,1,1
"candle and coffee warmer",,,10,77,232,147,,,,173,">3,000",8,1,0,1,0
"boho candle warmer",34.4,50,1,637,408,8,,,,277,641,8,1,0,1,1
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, christmas g",,,1,615,312,-23,,,,205,507,8,1,0,1,0
"candle warmer lamp candles",,,7,392,392,"n/a",,,,125,">1,000",8,1,0,1,0
"candle warmer and wax melter",,,2,165,330,15,,,,205,">2,000",8,1,0,1,0
"table top candle warmer",,,5,50,250,94,,,,151,">5,000",8,1,0,1,1
"vintage candle warmer lamp",33,,20,"1,789","1,245",47,0.82,0.6,1.15,508,">696",26,1,1,1,1
"rustic candle warmer lamp",24.3,21.4,17,"1,354",823,57,0.83,0.59,1.11,380,608,11,1,0,1,1
"candle warmer lamp with timer, adjustable height candle warmer, dimmable, home decor, wax warmer lam",,,29,480,265,-28,0.95,0.6,1.08,232,552,8,1,0,1,0
"candle wax warmers",,,10,25,253,9,,,,294,">10,000",8,1,0,1,0
"candle warmer lanp",,,8,335,335,30,,,,239,">1,000",8,1,0,1,1
"pretty candle warmer lamp",,,6,735,277,"n/a",,,,129,377,8,1,0,1,1
"candle warmer",23.5,18.9,2021,"6,548","196,445",34,0.8,0.5,1.09,473,">30,000",271,1,41,1,1
"boho candle warmer lamp",33.3,,1,693,372,20,,,,362,537,8,1,0,1,1
"adjustable candle warmer lamp",23.3,6.8,83,"2,309","2,194",55,0.93,0.61,1.29,514,">950",27,1,1,1,1
"lamp and candle warmer",,,5,262,262,"n/a",,,,116,">1,000",8,1,0,1,0
"candle melter warmer",,,1,136,271,-7,,,,394,">2,000",8,1,0,1,1
"candle lamp warmer black",39.4,33.3,4,483,359,99,,,,304,">744",8,1,0,1,0
"candle warmer black",24.5,28.6,36,"1,218","1,218",38,0.89,0.63,1.14,468,">1,000",26,1,0,1,0
"black candle lamp warmer",,,4,373,268,13,,,,168,">719",8,1,2,1,0
"adjustable candle warmer",20.8,9.1,5,463,437,24,0.89,0.63,1.2,333,">943",8,1,1,1,1
"adjustable height candle warmer lamp",32.1,33.3,1,330,274,56,,,,266,">831",8,1,1,1,0
"candle warmer gold",33.3,30,13,834,517,23,0.85,0.6,1.17,314,620,9,1,0,1,1
"crystal candle warmer",27.8,20,4,603,413,13,,,,342,">685",8,1,5,1,1
"flower candle warmer lamp",46.1,28.4,79,"6,806","3,920",1,0.71,0.5,0.98,574,576,32,1,9,1,1
"large candle warmer for 3 wick candles",,,5,361,314,16,1,0.78,1.28,225,">870",8,1,0,1,0
"candle+warmer",,,10,54,268,135,,,,308,">5,000",8,1,0,1,0
"candle warmer with auto shut off",36.9,16.7,12,426,410,1,0.95,0.67,1.2,286,">962",8,1,1,1,0
"best candle warmer lamp",27.5,,2,356,356,15,,,,243,">1,000",8,1,0,1,1
"candle warmer lamo",34.2,,10,394,394,18,1.05,0.72,1.38,309,">1,000",8,1,0,1,1
"candles lamp warmer",21.4,28.6,7,213,213,69,,,,240,">1,000",8,1,0,1,0
"farmhouse candle warmer",17.1,,1,421,415,9,0.79,0.52,1.04,340,">985",8,1,3,1,1
"2 in 1 candle and wax warmer",26.9,33.3,6,635,312,99,,,,188,491,8,1,0,1,0
"candle warmer lamp vintage",43.9,,2,535,372,16,,,,265,">695",8,1,0,1,1
"ceramic candle warmer",26.7,,5,378,378,5,,,,287,">1,000",8,1,4,1,0
"plug-in candle warmer",,,3,320,320,16,,,,147,">1,000",8,1,0,1,0
"scented candles for lamp warmers",,,4,232,232,"n/a",,,,104,">1,000",8,1,0,1,0
"black lamp candle warmer",,,3,363,271,29,,,,267,">746",8,1,0,1,0
"candle lamp warmer gold",,,13,219,219,"n/a",,,,93,">1,000",8,1,0,1,0
"auto shut off candle warmer",40,12.5,7,378,367,13,,,,267,">971",8,1,0,1,0
"candle warmer lamps",47.9,12.2,54,"1,660","1,660",-19,0.94,0.64,1.25,579,">1,000",26,1,0,1,0
"candle warmer electric",22.6,50,2,182,364,12,,,,386,">2,000",8,1,0,1,1
"candle warmer lamp lantern",63.9,16.7,2,554,359,5,0.91,0.75,1.43,375,">648",8,1,1,1,0
"candle warmer gift set",,,6,25,250,247,,,,207,">10,000",8,1,0,1,0
"candle wax melter warmer",,,11,116,232,848,,,,164,">2,000",8,1,0,1,0
"candle warmer plate",29.9,21.2,444,"10,127","10,127",28,0.63,0.38,0.92,460,">1,000",40,1,12,1,1
"candle wax melt warmer",17.3,6.7,16,116,581,2,0.87,0.64,1.08,446,">5,000",9,1,2,1,1
"wireless candle warmer",37.7,11.1,7,"1,953","1,592",2,0.75,0.47,0.99,593,815,26,1,0,1,1
"cordless candle warmer",26,20,9,"2,426","2,426",-4,0.67,0.43,0.98,624,">1,000",27,1,0,1,1
"candle mug warmer",,,10,389,389,56,0.9,0.83,1.18,229,">1,000",8,1,2,1,0
"candle warmers wax melts",35.5,16.7,6,215,429,-11,0.7,0.53,0.92,274,">2,000",8,1,0,1,0
"small candle warmer",32.2,13.1,10,140,698,11,0.73,0.56,0.97,487,">5,000",10,1,0,1,1
"candle warmer adjustable height",18.2,28.6,9,451,364,2,,,,240,">807",8,1,0,1,1
"masculine candle warmer",,,7,362,216,159,,,,195,597,8,1,0,1,0
"lamp candle warmer with timer",24.7,23.1,23,644,644,65,0.94,0.71,1.31,346,">1,000",10,1,0,1,0
"flower lamp candle warmer",47.2,30,11,"1,229",698,36,0.85,0.67,1.16,369,568,10,1,1,1,1
"electric candle lamp warmer",,,5,344,344,7,1.07,0.79,1.37,434,">1,000",8,1,7,1,1
"candle warmer plate auto shut off",35.1,10,6,933,388,5,,,,270,416,8,1,1,1,0
"candle coffee warmer",,,2,35,311,77,,,,239,">9,000",8,1,0,1,1
"candle and wax warmer 2 in 1",32.2,20,8,808,391,2,0.57,0.44,0.79,289,484,8,1,0,1,0
"battery powered candle warmers",29.1,,2,624,580,33,0.85,0.57,1.12,257,">929",9,1,0,1,0
"led candle warmer",,,1,321,265,"n/a",,,,108,">825",8,0,1,1,1
"fireplace candle warmer",,,4,185,370,22,,,,283,">2,000",8,0,0,1,1
"blue candle warmer lamp",43.6,33.3,6,789,420,12,0.91,0.69,1.23,294,532,8,0,0,1,1
"candle warmer lamp green",31.8,13.3,18,"1,197",821,19,0.83,0.64,1.19,448,686,11,0,1,1,1
"candle warmer bulb",60.8,49.7,116,824,"1,648",-3,1.17,1.1,1.49,598,">2,000",27,0,2,1,1
"yankee candle warmer electric",,,4,239,219,254,,,,176,">916",8,0,0,1,1
"candle warmer lamp two pack",,,5,283,283,-1,,,,186,">1,000",8,0,0,1,1
"marble candle warmer lamp",40,,1,636,344,84,,,,306,">541",8,0,1,1,1
"candle warmer light bulbs",60.2,51.1,119,828,"1,655",-9,1.14,0.99,1.37,522,">2,000",28,0,5,1,1
"candle warmer lamp blue",25.9,,13,839,439,26,0.87,0.58,1.13,304,523,8,0,0,1,1
"marble candle warmer",42.4,,3,"1,124",362,-6,1,0.69,1.2,336,322,8,0,2,1,1
"candle warmer lamp bulb",54.1,44.3,545,"3,321","6,642",-1,1.06,0.93,1.26,641,">2,000",33,0,2,1,1
"2 pack candle warmer lamp",48,33.3,4,437,437,47,0.92,0.68,1.17,352,">1,000",8,0,3,1,1
"candle warmer lantern lamp",55.2,33.3,4,317,317,28,,,,284,">1,000",8,0,0,1,1
"candle warmer lamp pink",39,11.8,23,"1,428","1,232",18,0.87,0.62,1.22,419,">863",26,0,0,1,1
"christmas candle warmer",48.1,,10,69,416,-44,0.85,0.53,0.96,544,">6,000",8,0,2,1,1
"silver candle warmer lamp",35.4,9.5,25,"1,429","1,232",29,0.84,0.6,1.14,534,">862",26,0,0,1,1
"wax melt candle warmer",,,2,86,343,8,,,,314,">4,000",8,0,0,1,1
"pink candle warmer lamp",32.2,11.1,24,"2,708","1,384",39,0.87,0.6,1.15,418,511,27,0,3,1,1
"candle warmer lamp color changing",,,13,454,280,-5,,,,165,617,8,0,0,1,1
"candle warmer lamp green glass",32.3,33.3,5,751,367,-25,,,,141,489,8,0,0,1,1
"candle wax warmer with timer",,,11,253,253,-1,,,,388,">1,000",8,0,0,1,1
"candle warmer lamp white",21.1,17.1,51,"2,076","1,594",18,0.79,0.56,1.08,425,">768",26,0,1,1,1
"candle warmer white",23.8,26.7,19,644,644,27,0.9,0.65,1.24,428,">1,000",10,0,0,1,1
"green candle warmer lamp",39.7,33.3,8,"1,904","1,053",44,0.84,0.58,1.06,495,553,26,0,2,1,1
"christmas candle warmer lamp",,,9,576,424,-33,0.95,0.8,1.4,539,">736",8,0,5,1,1
"candle warmer lantern lamp farmhouse",,,1,275,238,"n/a",,,,90,864,8,0,0,1,1
"lantern candle warmer lamp",31.7,66.7,7,383,383,39,,,,219,">1,000",8,0,0,1,1
"wooden candle warmer",,,1,348,348,17,,,,178,">1,000",8,0,2,1,1
"usb candle warmer",35.1,,7,476,420,3,0.83,0.56,1.09,205,">882",8,0,1,1,1
"lantern candle warmer",24.9,19.2,28,"1,834","1,434",26,0.83,0.56,1.1,586,">782",26,0,1,1,0
"yankee candle scenterpiece warmer",57.7,33.3,6,773,300,-25,,,,227,388,8,0,0,1,0
"yankee candle wax warmer",41.4,,13,645,645,18,0.72,0.53,0.91,403,">1,000",10,0,0,1,0
"teapot warmer with candle",24,16.7,13,"1,709",405,-7,0.77,0.54,1.06,227,">237",8,0,0,1,0
"yankee candle melt cups warmer",44,25,3,589,216,46,,,,145,367,8,0,0,1,0
"tea candle wax warmer",,,2,325,325,60,,,,273,">1,000",8,0,0,1,0
"food warmer candle",45.6,40,4,143,429,-22,0.78,0.59,0.88,329,">3,000",8,0,2,1,0
"candle massage oil warmer",,,1,304,268,"n/a",,,,195,">881",8,0,0,1,0
"tea pot warmer with candle",35.3,40,19,"1,514",421,3,0.63,0.5,0.71,249,">278",8,0,1,1,0
"candle warmer plug in",26.5,27.3,9,609,381,-9,0.76,0.56,1,241,626,8,0,1,1,0
"candle wax warmer plug in",38.5,20,1,486,330,76,,,,290,">679",8,0,0,1,0
"candle warmer plug in wall",40.9,50,10,"1,361",400,18,0.74,0.52,0.83,250,294,8,0,0,1,0
"np5 gu10 120v 25w bulb candle warmer",69.5,66.2,34,"5,048",424,-12,1.14,1.08,1.6,50,84,8,0,7,1,0
"tea warmer candle",,,4,74,222,-11,,,,232,">3,000",8,0,0,1,0
"candle warmer replacement bulb",62.8,55.3,24,747,439,2,1.22,1.09,1.65,207,588,8,0,0,1,0
"candle warmer wax",32.4,28.6,10,40,404,8,0.66,0.5,0.83,317,">10,000",8,0,1,1,0
"cat candle warmer",,,9,464,359,4,0.77,0.57,0.87,235,">773",8,0,0,1,0
"candle warmer blue",,,8,359,271,338,,,,108,">755",8,0,0,1,0
"candle warmer crock",,,1,"1,288",286,"n/a",,,,118,222,8,0,0,1,0
"candle warmer christmas",,,7,42,253,-13,,,,327,">6,000",8,0,0,1,0
"candle warmer green",48.9,,2,776,392,3,,,,269,505,8,0,0,1,0
"candle warmer marble",44.4,25,1,"1,549",364,81,,,,231,235,8,0,0,1,0
"candle warmer pink",30,50,10,864,644,12,0.82,0.62,1.13,428,">745",10,0,0,1,0
"elephant candle warmer",,,5,365,216,57,,,,220,592,8,0,0,1,0
"christmas candle warmers",,,1,45,268,-20,,,,200,">6,000",8,0,0,1,0
"candle food warmer",,,3,121,241,24,,,,373,">2,000",8,0,0,1,0
"hummingbird candle warmer",,,12,484,286,"n/a",,,,122,591,8,0,0,1,0
"owl candle warmer",,,8,392,256,425,,,,171,653,8,0,0,1,0
"turtle candle warmer",,,1,356,232,"n/a",,,,101,651,8,0,0,1,0
"butterfly candle warmer",,,5,697,311,38,0.86,0.57,1.1,260,446,8,0,0,1,0
"candle making warmer",48,100,3,576,330,-3,,,,361,">573",8,0,0,1,0
"candle warmer purple",,,17,318,219,77,,,,164,688,8,0,0,1,0
"harry potter candle warmer",,,8,344,222,78,,,,210,645,8,0,0,1,0
"sunflower candle warmer",,,7,789,348,83,,,,228,441,8,0,0,1,0
"mickey mouse candle warmer",,,2,"1,028",222,"n/a",,,,114,216,8,0,0,1,0
"rose gold candle warmer",,,6,421,225,84,,,,263,534,8,0,0,1,0
"skull candle warmer",,,2,500,306,79,,,,184,612,8,0,0,1,0
"wood candle warmer",45.2,33.3,1,451,325,11,,,,407,">720",8,0,2,1,0
"cow candle warmer",,,3,409,259,28,,,,259,633,8,0,0,1,0
"candle warmer bulbs",54.6,46.5,40,290,580,5,1.23,1.18,1.41,257,">2,000",9,0,0,1,0
"candle warmer light bulb",48.5,46.4,44,291,581,0,1.1,0.98,1.35,282,">2,000",9,0,0,1,0
"candle for candle warmer",29,16.7,71,143,"1,432",50,1.36,1.03,1.77,705,">10,000",26,0,0,1,0
"blue candle warmer",28.6,20,6,469,372,34,,,,303,">794",8,0,1,1,0
"grey candle warmer",,,3,277,222,"n/a",,,,163,">801",8,0,0,1,0
"candle for warmer",,,19,24,238,33,1.32,0.97,1.64,251,">10,000",8,0,0,1,0
"pink candle warmer",29.7,33.3,8,"1,356","1,093",24,0.7,0.48,0.99,566,">806",26,0,3,1,0
"purple candle warmer",32.7,,7,744,517,31,0.91,0.63,1.27,276,695,9,0,1,1,0
"candles for warmers",,,4,16,311,21,,,,212,">20,000",8,0,0,1,0
"candles for candle warmer",21.6,8.6,82,166,"1,661",69,1.43,1.06,1.73,703,">10,000",27,0,1,1,0
"wax warmer for candle making",25.5,25,5,580,384,-4,0.87,0.63,0.98,316,">662",8,0,0,1,0
"light bulbs for candle warmers",68.6,54.5,13,197,394,26,,,,215,">2,000",8,0,0,1,0
"candle wax for warmer",,,5,69,346,17,,,,293,">5,000",8,0,0,1,0
"candles for candle warmers",23.8,40,3,43,429,8,1.38,1.12,1.87,349,">10,000",8,0,0,1,0
"food warmer candles",,,12,80,241,"n/a",,,,109,">3,000",8,0,0,1,0
"flamingo candle warmer",,,2,835,344,3,1.01,0.84,1.4,211,412,8,0,0,1,0
"candle warmer fireplace",,,5,147,294,66,,,,206,">2,000",8,0,0,1,0
"candle warmer usb",,,1,467,268,132,,,,161,">574",8,0,0,1,0
"candle warmer bulbs replacement",65.5,53.9,63,"1,299",764,32,1.24,1.13,1.79,209,588,11,0,1,1,0
"light bulb for candle warmer lamp",59.6,56.4,64,496,992,26,1.16,1.03,1.44,260,">2,000",12,0,1,1,0
"candle warmer lamp marble",50,25,5,797,421,2,0.92,0.62,1.25,254,528,8,0,2,1,0
"candle warmer lamp set of 2",39.7,25,5,591,439,8,0.88,0.66,1.19,450,">743",8,0,0,1,0
"50 watt halogen bulb for candle warmer",74.7,65.8,94,"6,361","1,164",-2,1.13,1.06,1.34,294,183,26,0,0,1,0
"sokcvsea candle warmer lamp",,,17,542,280,-87,0.75,0.63,1.05,328,517,8,0,0,1,0
"mocalido candle warmer lamp",,,23,449,235,262,1.29,0.98,1.82,174,523,8,0,0,1,0
"candle warmer lamp with timer 2 pack",46.4,,5,346,346,188,,,,228,">1,000",8,0,0,1,0
"candle warmer lamp white and gold",,,18,514,271,12,,,,244,527,8,0,0,1,0
"white candle warmer lamp with timer",,,17,325,232,127,,,,240,">714",8,0,4,1,0
"plug in candle warmer wax melter",,,6,491,286,1,,,,270,583,8,0,0,1,0
"candle warmer lamp with usb port",,,3,580,324,132,,,,291,559,8,0,0,1,0
"candle warmer lamp purple",42.2,20,3,807,426,26,0.94,0.7,1.21,255,528,8,0,0,1,0
"stained glass candle warmer lamp",39,20,5,797,424,4,0.77,0.52,1.07,247,532,8,0,0,1,0
"candle warmer wax melts scents",,,3,52,259,10,,,,215,">5,000",8,0,0,1,0
"candle warmer marble base",35.3,,1,"1,776",341,2,,,,215,192,8,0,0,1,0
"candle warmer lamp stained glass",41.9,,1,748,397,7,,,,256,531,8,0,0,1,0
"gu 10 110-130v 50w candle warmer bulb",76.1,60.4,51,"4,954",644,14,1.27,1.15,1.4,98,130,10,0,0,1,0
"candle warmer lamp with marble base",56.7,50,6,647,341,18,,,,250,527,8,0,0,1,0
"smart coffee warmer, bestinnkits auto on/off gravity-induction mug warmer for office desk use, candl",,,2,"4,014",289,86,,,,31,72,8,0,0,1,0
"candle warmer lamp with remote control",32,,8,598,335,119,,,,298,560,8,0,0,1,0
"scented candles for candle warmer lamps",31,23.1,22,482,482,19,1.34,1.03,1.75,584,">1,000",9,0,0,1,0
