"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"candle warmer lantern lamp",55.2,33.3,4,317,317,28,,,,284,">1,000",8,0,0,1,1
"candle warmer lamp pink",39,11.8,23,"1,428","1,232",18,0.87,0.62,1.22,419,">863",26,0,0,1,1
"candle warmer lamp green",31.8,13.3,18,"1,197",821,19,0.83,0.64,1.19,448,686,11,0,1,1,1
"candle warmer lamp 2 pack",42.5,17.4,34,"1,428","1,428",56,0.86,0.65,1.1,483,">1,000",26,0,0,1,1
"white candle warmer lamp",21.8,3.9,37,"1,232","1,232",49,0.7,0.51,0.98,450,">1,000",27,0,4,1,1
"blue candle warmer lamp",43.6,33.3,6,789,420,12,0.91,0.69,1.23,294,532,8,0,0,1,1
"candle warmer lamp two pack",,,5,283,283,-1,,,,186,">1,000",8,0,0,1,1
"stained glass candle warmer lamp",39,20,5,797,424,4,0.77,0.52,1.07,247,532,8,0,0,1,1
"purple candle warmer lamp",46,37.5,5,816,436,30,0.9,0.68,1.2,377,534,8,0,0,1,1
"green candle warmer lamp",39.7,33.3,8,"1,904","1,053",44,0.84,0.58,1.06,495,553,26,0,2,1,1
"candle warmer lamp marble",50,25,5,797,421,2,0.92,0.62,1.25,254,528,8,0,2,1,1
"candle warmer lamp white",21.1,17.1,51,"2,076","1,594",18,0.79,0.56,1.08,425,">768",26,0,1,1,1
"silver candle warmer lamp",35.4,9.5,25,"1,429","1,232",29,0.84,0.6,1.14,534,">862",26,0,0,1,1
"candle warmer lamp stained glass",41.9,,1,748,397,7,,,,256,531,8,0,0,1,1
"wooden candle warmer lamp",,,4,458,312,25,,,,175,">681",8,0,2,1,1
"lantern candle warmer lamp",31.7,66.7,7,383,383,39,,,,219,">1,000",8,0,0,1,1
"pink candle warmer lamp",32.2,11.1,24,"2,708","1,384",39,0.87,0.6,1.15,418,511,27,0,3,1,0
"light bulb for candle warmer lamp",59.6,56.4,64,496,992,26,1.16,1.03,1.44,260,">2,000",12,0,1,1,0
"candle warmer lamp set of 2",39.7,25,5,591,439,8,0.88,0.66,1.19,450,">743",8,0,0,1,0
"mocalido candle warmer lamp",,,23,449,235,262,1.29,0.98,1.82,174,523,8,0,0,1,0
"candle warmer lamp with timer 2 pack",46.4,,5,346,346,188,,,,228,">1,000",8,0,0,1,0
"white candle warmer lamp with timer",,,17,325,232,127,,,,240,">714",8,0,4,1,0
"candle warmer lamp with usb port",,,3,580,324,132,,,,291,559,8,0,0,1,0
"candle warmer lamp purple",42.2,20,3,807,426,26,0.94,0.7,1.21,255,528,8,0,0,1,0
"candle warmer lamp with marble base",56.7,50,6,647,341,18,,,,250,527,8,0,0,1,0
"candle warmer lamp with remote control",32,,8,598,335,119,,,,298,560,8,0,0,1,0
"scented candles for candle warmer lamps",31,23.1,22,482,482,19,1.34,1.03,1.75,584,">1,000",9,0,0,1,0
"candle warmer lamp bulbs",60,46.2,15,191,381,-18,,,,293,">2,000",8,0,0,1,0
"candle warmer lamp replacement bulbs",71.9,66.7,28,"1,053",436,1,1.28,1.06,1.5,231,">414",8,0,0,1,0
"bulb for candle warmer lamp",64.5,45.5,29,219,437,-6,0.95,0.84,1.14,233,">2,000",8,0,2,1,0
"bulbs for candle warmer lamp",67.6,36.4,27,212,423,-8,1.06,0.77,1.18,230,">2,000",8,0,5,1,0
"light bulbs for candle warmer lamps",,,11,164,327,-27,,,,273,">2,000",8,0,0,1,0
"lightbulb for candle warmer lamp",72,58.3,18,172,344,-7,,,,259,">2,000",8,0,0,1,0
"candle warmer lamp lightbulb",71.4,53.3,10,182,364,1,,,,221,">2,000",8,0,0,1,0
"candle warmer lamp light bulb replacement",66.1,47.8,11,505,412,46,,,,236,">816",8,0,0,1,0
"blackyuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass ",71.1,,1,"6,986",482,-1,0.74,0.58,1.08,64,69,9,0,0,1,0
"scented jar candles for candle warmer lamps",27.3,14.3,5,392,392,9,1.47,1.09,1.78,241,">1,000",8,0,0,1,0
"candles for candle warmer lamp",31.8,12.5,15,436,436,47,1.36,1.03,1.64,376,">1,000",8,0,0,1,0
"candle warmer lamp green glass",32.3,33.3,5,751,367,-25,,,,141,489,8,0,0,1,0
"candle warmer lamp lantern style",,,3,550,311,-6,,,,194,565,8,0,0,1,0
"candle warmer lamp led color changing",41.9,33.3,12,563,228,-3,,,,145,405,8,0,0,1,0
"candle warmer lamp butterfly",,,6,494,244,-1,,,,157,494,8,0,0,1,0
"candle warmer lamp white and silver",,,1,568,250,-23,,,,194,440,8,0,0,1,0
"mushroom candle warmer lamp",35.7,25,6,396,271,4,,,,151,">684",8,0,0,1,0
"dragonfly candle warmer lamp",,,9,517,349,19,,,,190,675,8,0,0,1,0
"butterfly candle warmer lamp",57.1,,10,543,394,"n/a",0.77,0.56,0.95,118,725,8,0,0,1,0
"cheap candle warmer lamp",23.1,,5,63,317,"n/a",,,,148,">5,000",8,0,0,1,0
"red candle warmer lamp",53.6,,5,467,268,"n/a",,,,108,574,8,0,0,1,0
"tiffany lamp candle warmer",48,,4,498,312,"n/a",,,,82,626,8,0,0,1,0
"candle warmer lamp under 20 dollars",,,1,"1,059",235,"n/a",,,,96,222,8,0,0,1,0
"candle warmer lantern lamp farmhouse",,,1,275,238,"n/a",,,,90,864,8,0,0,1,0
"candle warmer lamp with timer white",,,6,352,250,"n/a",,,,88,">710",8,0,0,1,0
"candle warmer lamp hummingbird",,,12,413,228,"n/a",,,,98,552,8,0,0,1,0
"candle warmer lamp white base",,,7,357,244,"n/a",,,,103,684,8,0,0,1,0
