"Keyword Phrase","Magnet IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","CPR","Organic","Smart Complete","Amazon Recommended","Title Density",,
"portable pot","7,543","1,765",-10,0.81,0.49,1.03,844,">234",28,0,0,1,4,,
"aromatherapy shower steamers","2,932","1,765",16,1.83,1.31,2.25,396,">602",27,1,0,0,1,,
"tabletop smores maker","4,105","1,765",16,1.08,0.87,1.29,448,430,27,1,0,0,2,,
"burts bee",588,"1,765",20,1.21,0.83,1.6,477,">3,000",26,1,0,0,0,,
"womens essentials",18,"1,763",0,0.69,0.51,1.15,876,">100,000",26,1,0,0,0,,
"shower tablets","3,477","1,763",-5,1.86,1.31,2.11,327,507,33,0,0,1,21,,
"5 dollars and under",35,"1,763",-9,0.94,0.64,1.22,738,">50,000",26,1,0,0,0,,
"appstore",29,"1,763",-1,1.05,0.75,1.41,443,">60,000",27,1,0,0,1,,
"gardening kit","4,475","1,763",-13,1.19,0.95,1.57,571,394,28,1,0,0,4,,
"spa socks","1,767","1,763",10,0.87,0.69,1.15,661,">998",31,1,0,0,14,,
"eye mask massager with heat and cool","5,590","1,761",140,2.41,1.86,2.87,297,315,26,1,0,0,0,,
"toys for ages 5 girls",59,"1,761",116,1.26,1,1.59,466,">30,000",26,1,0,0,0,,
"gifting me to his bestfriend","587,000","1,761",13,0.93,0.84,1.08,29,3,26,0,1,0,0,,
"big blanket hoodie","1,761","1,761",64,0.94,0.71,1.21,484,">1,000",27,1,0,1,1,,
"gofts for dad",18,"1,761",58,1.12,0.92,1.48,281,">100,000",26,1,0,0,0,,
"apple music","1,761","1,761",-27,0.98,0.96,1.65,313,">1,000",30,1,0,0,12,,
"hand care",44,"1,761",20,1.18,0.83,1.44,649,">40,000",28,1,0,0,6,,
"portable electric pot",807,"1,614",61,0.78,0.51,1.07,469,">2,000",27,0,0,1,2,,
"shower steamers bulk","2,568","1,613",4,1.56,1.14,1.98,440,">628",27,0,0,1,2,,
"couples scrapbook","1,613","1,613",3,0.67,0.52,0.78,464,">1,000",27,1,0,0,2,,
"shower steamers for women aromatherapy","2,712","1,611","n/a",1.79,1.45,2.33,109,">594",26,1,0,0,0,,
"novelty lamp",161,"1,611",1,0.73,0.63,0.97,732,">10,000",26,1,0,0,0,,
"toys 7 year old girl",322,"1,611",-14,1.24,1.03,1.6,648,">5,000",26,1,0,0,0,,
"fun stocking stuffers",54,"1,611",201,0.9,0.61,1.13,418,">30,000",27,1,0,0,2,,
"wearable blanket hoodie for women","1,609","1,609",225,0.88,0.72,1.12,378,">1,000",27,1,0,0,2,,
"unique stocking stuffers",80,"1,609",127,0.89,0.66,1.1,497,">20,000",26,1,0,0,0,,
"shower bomb","1,609","1,609",1,1.72,1.2,2.11,498,">1,000",27,1,0,1,2,,
"indoor smore maker","4,545","1,609",3,0.88,0.71,1.25,670,354,26,1,0,0,1,,
"stuff for kids",16,"1,607",6,0.86,0.68,1.18,861,">100,000",26,1,0,0,0,,
"bath bomb set","1,607","1,607",50,1.47,0.88,1.68,394,">1,000",27,1,0,0,2,,
"lavender stanley cup","4,002","1,605",15,0.72,0.58,0.88,394,401,26,1,0,0,0,,
"stanley handle",533,"1,598",-17,0.75,0.54,0.97,744,">3,000",26,1,0,0,1,,
"adult snacks",159,"1,588",-14,1.48,1.03,1.89,706,">10,000",26,1,0,0,0,,
"stanley tumblers",529,"1,588",-12,0.62,0.53,0.72,833,">3,000",26,1,0,0,0,,
"christmas for women","6,644","1,588",140,0.89,0.67,1.23,358,239,26,1,0,0,0,,
"charcuterie board set","1,588","1,588",66,1.21,0.93,1.65,406,">1,000",30,1,0,0,13,,
"cool desk accessories",53,"1,588",-16,0.62,0.49,0.76,836,">30,000",26,1,0,0,0,,
"wedding registry search","1,588","1,588",-51,1.1,0.83,1.27,651,">1,000",27,1,0,0,3,,
"rechargable lighter","1,588","1,588",-10,0.76,0.71,0.82,472,">1,000",26,1,0,0,0,,
"housewarming",16,"1,588",-3,0.9,0.69,1.2,692,">100,000",39,1,0,0,39,,
"customized stanley cup","1,925","1,586",-17,1.16,0.78,1.22,650,">824",26,1,0,0,0,,
"stanley cup top",793,"1,586",-16,0.77,0.49,1.04,779,">2,000",26,1,0,0,0,,
"house decorations for home",16,"1,586",-5,0.78,0.51,0.99,917,">100,000",26,1,0,0,0,,
"custom labels stickers personalized",317,"1,586",1,1.12,0.87,1.38,537,">5,000",26,1,0,0,0,,
"japandi","7,377","1,586",0,0.66,0.38,0.71,812,">215",34,1,0,0,25,,
"cute coffee mugs women",159,"1,586",160,0.84,0.69,0.97,498,">10,000",26,1,0,0,0,,
"girls christmas",16,"1,586",117,1.12,0.87,1.43,495,">100,000",27,1,0,0,4,,
"statues",53,"1,586",-4,0.56,0.38,0.63,752,">30,000",27,1,0,0,3,,
"wedding must haves",40,"1,586",-22,0.93,0.65,1.11,826,">40,000",26,1,0,0,0,,
"blanket sweatshirt","1,831","1,586",9,0.88,0.65,1.14,586,">866",31,1,0,1,16,,
"warming socks","1,586","1,586",96,1.22,0.87,1.59,531,">1,000",27,1,0,0,4,,
"womens thick socks",40,"1,586",40,1.22,0.92,1.41,540,">40,000",26,1,0,0,0,,
"whiskey making kit","2,976","1,586",62,1.54,1.27,1.8,243,533,30,1,0,0,12,,
"the book of unusual knowledge 2024","16,500","1,584","n/a",0.7,0.68,1.19,37,96,26,1,0,0,0,,
"stanley wicked","36,837","1,584",469,0.53,0.44,0.62,67,43,26,1,0,0,0,,
"stanley crossbody water bottle","3,253","1,584",-26,0.82,0.66,0.93,484,487,26,1,0,0,0,,
"prime same day items",158,"1,584",-4,1.48,0.87,2.01,686,">10,000",26,1,0,0,0,,
"travel cubes for packing women","2,989","1,584",483,1.2,0.88,1.34,338,">530",26,1,0,0,0,,
"overnight oats jars with lid","1,666","1,584",0,0.68,0.54,0.97,407,">951",26,1,0,0,0,,
"smoked old fashioned kit","4,659","1,584",38,2.26,1.94,2.73,396,340,27,1,0,0,2,,
"camara para niñas","2,989","1,584",63,1.64,1.17,2.09,632,530,26,1,0,0,0,,
"amazin","3,100","1,584",30,1.24,0.88,1.61,675,">511",34,1,0,0,26,,
"women's winter socks",158,"1,584",90,1.14,0.9,1.27,420,">10,000",26,1,0,0,0,,
"muk luks socks","4,686","1,584",58,0.86,0.63,0.93,505,338,26,1,0,0,0,,
"stocking stuffer for women",53,"1,584",167,1.3,0.88,1.73,365,">30,000",26,1,0,0,0,,
"travel stuff",16,"1,584",-9,0.83,0.61,1.07,777,">100,000",26,1,0,0,0,,
"home kitchen",16,"1,584",5,0.77,0.58,1.11,656,">100,000",27,0,0,1,2,,
"stanley iceflow stainless steel tumbler","7,680","1,582",87,0.63,0.5,0.76,363,206,27,1,0,0,4,,
"burt's bees advent calendar","5,512","1,582",58,0.65,0.5,0.8,215,287,26,1,0,0,0,,
"italy travel essentials","1,582","1,582",-44,0.84,0.61,1.18,738,">1,000",26,1,0,0,0,,
"lego sunflowers","5,881","1,582",4,0.55,0.42,0.71,432,269,26,1,0,0,0,,
"self care kits for women",791,"1,582",74,0.99,0.74,1.27,452,">2,000",26,1,0,0,0,,
"soft socks for women fuzzy",791,"1,582",71,0.92,0.71,1.15,459,">2,000",26,1,0,0,0,,
"stanley flip top","3,612","1,582",-7,0.71,0.43,0.85,387,438,26,1,0,0,0,,
"flor",16,"1,582",13,0.83,0.65,1.38,"1,008",">100,000",30,1,0,0,13,,
"toys for 8 year old girl",316,"1,582",42,1.29,1.08,1.55,433,">5,000",26,1,0,0,0,,
"reading socks","2,611","1,582",62,0.82,0.65,0.9,495,">606",29,1,0,0,9,,
"6 year old girl",79,"1,582",11,1.29,1.03,1.76,611,">20,000",27,1,0,0,4,,
"solar garden decor",79,"1,582",-4,1.09,0.82,1.29,686,">20,000",27,1,0,1,2,,
"travel document organizer",396,"1,582",-18,0.64,0.44,0.74,711,">4,000",31,1,0,0,14,,
"womens self care",79,"1,581",43,1.17,0.9,1.39,476,">20,000",26,1,0,0,0,,
"women's stocking stuffers",53,"1,581",183,1.18,0.88,1.53,240,">30,000",26,1,0,0,0,,
"regalos para niñas de 10 años","1,581","1,581",37,1.09,0.83,1.38,642,">1,000",26,1,0,0,0,,
"herb planter indoor",264,"1,581",-9,0.58,0.44,0.75,603,">6,000",26,0,0,1,1,,
"7 year old toys",395,"1,581",4,1.22,0.87,1.61,511,">4,000",26,1,0,0,0,,
"charcuterie boards with",256,"1,535",30,1.26,0.94,1.57,355,">6,000",27,1,0,0,3,,
"same day delivery items snacks","2,147","1,535",-20,1.25,0.84,1.64,724,715,26,1,0,0,0,,
"lego roses flowers","2,468","1,535",2,0.86,0.57,1.01,460,622,26,1,0,0,0,,
"movie night popcorn set","2,215","1,535",58,0.89,0.43,0.98,366,693,27,1,0,0,2,,
"mastercard","4,723","1,535",0,0.9,0.71,1.3,138,325,38,1,0,1,37,,
"printable camera","1,725","1,535",7,1.36,0.9,1.79,343,">890",26,1,0,0,1,,
"giant hoodie",38,"1,535",57,1.08,0.83,1.18,547,">40,000",26,1,0,0,1,,
"hair makeup",154,"1,535",92,0.97,0.58,1.2,616,">10,000",28,1,0,0,5,,
"cozy office decor",51,"1,535",39,0.78,0.56,0.99,769,">30,000",26,1,0,0,1,,
"my adventure book","8,771","1,535",2,0.66,0.47,0.85,290,175,27,1,0,0,2,,
"hot food container",512,"1,535",-10,0.54,0.39,0.77,724,">3,000",26,0,0,1,0,,
"old fashioned",256,"1,535",11,1.79,1.38,1.93,556,">6,000",39,1,0,0,41,,
"cocktail smoke kits","4,898","1,533",39,2.15,1.88,2.51,344,313,26,1,0,0,0,,
"cool girl aesthetic",153,"1,533",18,0.79,0.56,0.93,440,">10,000",26,1,0,0,0,,
"stocking stuffers for teens 16-18","1,533","1,533",458,1.05,0.71,1.25,335,">1,000",26,1,0,0,0,,
"label maker'",511,"1,533",51,1.28,0.97,1.61,534,">3,000",26,1,0,0,0,,
"christmas for her",15,"1,533",218,1.28,0.92,1.72,356,">100,000",26,1,0,0,0,,
"same day delivery items food","2,323","1,533",-4,0.91,0.61,1.2,827,660,26,1,0,0,0,,
"propagation",767,"1,533",-11,0.65,0.46,0.88,545,">2,000",40,1,0,0,42,,
"cashapp","27,375","1,533",-10,0.69,0.34,1.05,76,56,38,1,0,0,37,,
"new mom essentials",153,"1,533",-9,1,0.57,1.42,555,">10,000",26,1,0,0,1,,
"cozy socks for women with grippers","1,533","1,533",37,0.88,0.65,1.17,572,">1,000",26,1,0,0,0,,
"christmas present",15,"1,533",105,1.09,0.87,1.4,411,">100,000",26,1,0,0,0,,
"office plant",150,"1,504",-12,0.81,0.6,1.1,572,">10,000",26,1,0,0,0,,
"30 oz stanley tumbler with straw","1,619","1,379",-26,0.74,0.47,0.81,653,">852",26,1,0,0,0,,
"4-5 year old girl toys",230,"1,379",65,1.29,0.92,1.62,292,">6,000",26,1,0,0,0,,
"stocking stuffers for wife",197,"1,379",155,1.17,0.92,1.56,291,">7,000",26,1,0,0,0,,
"real plants","3,707","1,379",-17,0.6,0.44,0.84,840,372,26,0,0,1,1,,
"for women",7,"1,379",-6,1.04,0.67,1.46,621,">200,000",36,1,0,0,33,,
"paypal","1,379","1,379",-10,0.81,0.61,1.01,241,">1,000",36,1,0,1,33,,
"warm socks women",138,"1,379",89,1.31,1.03,1.42,416,">10,000",26,1,0,0,0,,
"fuzzy socks pack",690,"1,379",73,0.92,0.71,1.15,338,">2,000",26,1,0,0,0,,
"mugs with lids",69,"1,379",-7,0.59,0.44,0.72,829,">20,000",26,1,0,0,0,,
"popular toys for girls 6-8",689,"1,377",70,1.21,0.92,1.33,397,">2,000",26,1,0,0,0,,
"shower aromatherapy steamers","2,295","1,377",7,1.85,1.23,2.25,354,">600",26,1,0,0,0,,
"mens gofts",7,"1,377",57,1.35,1.02,1.81,285,">200,000",26,1,0,0,0,,
"cluci","2,810","1,377",-30,0.5,0.35,0.54,459,">490",41,1,0,0,47,,
"bag for travel",14,"1,377",-6,0.62,0.52,0.89,864,">100,000",27,1,0,0,5,,
"keep",14,"1,377",-3,0.92,0.58,1.14,549,">100,000",35,0,0,1,28,,
"sleeping socks",689,"1,377",29,1.03,0.74,1.24,572,">2,000",28,1,0,0,8,,
"plant seeds for indoor planting","3,168","1,375",-5,0.68,0.51,0.95,632,434,26,1,0,0,0,,
"overnight oats containers with lids glass","2,835","1,375",-26,0.62,0.49,0.76,461,485,26,1,0,0,0,,
"girls camera","1,375","1,375",20,1.77,1.44,2.36,551,">1,000",26,1,0,0,0,,
"mystery snack box","4,599","1,375",-4,0.75,0.5,0.96,708,299,26,1,0,0,1,,
"dad presents",46,"1,375",60,1.42,1.05,1.76,353,">30,000",26,1,0,0,0,,
"cottage decor",69,"1,373",-4,0.61,0.42,0.89,759,">20,000",26,1,0,0,0,,
"indoor plant seeds",137,"1,373",-2,0.52,0.46,0.63,631,">10,000",26,1,0,0,0,,
"stupid stuff","1,373","1,373",-2,0.59,0.49,0.8,733,">1,000",26,1,0,0,1,,
"5 and under items",17,"1,373",-10,0.83,0.52,1.28,816,">80,000",26,1,0,0,0,,
"herb garden kit",687,"1,373",26,0.78,0.58,0.93,431,">2,000",30,1,0,1,14,,
"relaxing",14,"1,373",-11,1.52,0.98,1.96,620,">100,000",30,1,0,0,14,,
"stanley love shack fancy","12,418","1,366",-17,0.73,0.48,0.85,369,110,26,1,0,0,0,,
"plavogue eye massager","11,675","1,366",79,2.32,1.76,2.74,132,117,26,1,0,0,0,,
"propagation vases","1,366","1,366",40,0.75,0.6,0.9,391,">1,000",27,1,0,0,3,,
"esoxoffore instant print camera for kids","4,078","1,366",15,1.74,1.56,2.06,79,335,26,1,0,0,1,,
"lying flat duck night light","8,987","1,366",49,1.13,1.09,1.19,196,152,35,1,0,0,29,,
"marmita termica eletrica","4,364","1,366",8,0.6,0.51,0.72,552,313,26,1,0,1,0,,
"blanket hoodie for women","1,366","1,366",132,0.85,0.68,1.07,332,">1,000",27,1,0,0,4,,
"toys for 9+ year old girls",137,"1,366",15,1.21,0.97,1.43,472,">10,000",26,1,0,0,0,,
"cosmetic bags for women travel set",228,"1,366",43,0.55,0.47,0.69,384,">6,000",26,1,0,0,0,,
"garden sculptures & statues",68,"1,366",-16,0.75,0.65,0.89,622,">20,000",26,1,0,0,0,,
"under 25 dollar items",273,"1,366",2,1.06,0.73,1.21,548,">5,000",26,1,0,0,0,,
"christmas treats for kids",137,"1,366",138,0.74,0.54,0.86,450,">10,000",26,1,0,0,0,,
"medias de invierno para mujer","1,943","1,366",45,0.64,0.56,0.77,638,">703",26,1,0,0,0,,
"terrariums",137,"1,366",38,0.67,0.52,0.82,473,">10,000",27,1,0,0,3,,
"rose for women",14,"1,366",-12,0.8,0.62,0.98,13,">100,000",26,1,0,0,1,,
"giant hoodies for women",34,"1,366",145,1.01,0.83,1.31,280,">40,000",26,1,0,0,0,,
"cute stocking stuffers",46,"1,366",113,0.85,0.65,1.13,337,">30,000",26,1,0,0,0,,
"car food","12,887","1,366",10,1.55,1.21,2.37,146,106,26,0,0,1,0,,
"warming socks for women","1,366","1,366",89,1.34,1.02,1.51,458,">1,000",26,1,0,0,0,,
"stuff for 11 year old girls","1,366","1,366",25,0.97,0.79,1.28,398,">1,000",26,1,0,0,0,,
"home items",14,"1,366",-13,0.85,0.56,1.14,895,">100,000",26,1,0,0,0,,
"snacks for school",195,"1,366",-45,0.96,0.67,1.46,615,">7,000",26,1,0,0,0,,
"cup sets",27,"1,366",10,0.65,0.52,0.91,715,">50,000",26,1,0,0,0,,
"warm womens socks",137,"1,366",120,1.14,0.89,1.27,467,">10,000",26,1,0,0,0,,
"earthy decor",152,"1,366",-8,0.58,0.38,0.67,846,">9,000",26,1,0,0,0,,
"cool decor",14,"1,366",1,0.69,0.47,0.95,870,">100,000",26,1,0,0,0,,
"beach vacation essentials",137,"1,366",-32,0.89,0.77,1.13,875,">10,000",26,1,0,0,0,,
"10 year old girl toys",342,"1,366",24,1.32,1.02,1.56,484,">4,000",26,1,0,0,0,,
"table top fire","1,366","1,366",26,0.99,0.71,1.39,504,">1,000",29,1,0,0,10,,
"chapstick set","1,436","1,366",64,1.04,0.63,1.18,329,">951",26,1,0,0,0,,
"7 year old girl",195,"1,366",0,1.41,1.1,1.74,475,">7,000",27,1,0,0,3,,
"tabletop fire","1,366","1,366",18,1.06,0.76,1.44,339,">1,000",40,1,0,0,43,,
"crate and barrel","6,383","1,366",-2,0.58,0.45,0.88,591,214,27,1,0,0,3,,
"turtle decor",137,"1,366",-2,0.73,0.49,0.99,628,">10,000",29,1,0,1,9,,
"childrens camera","1,366","1,366",20,1.2,1.01,1.69,324,">1,000",26,1,0,0,0,,
"food heater","3,406","1,366",1,0.94,0.77,1.37,625,401,30,1,0,0,14,,
"kids snack box",137,"1,366",-26,0.69,0.53,1.29,714,">10,000",26,1,0,0,1,,
"socks fuzzy",455,"1,366",51,0.93,0.72,1.25,421,">3,000",26,1,0,0,1,,
"birthday balloon",46,"1,366",-5,0.69,0.58,0.85,749,">30,000",28,0,0,1,6,,
"scrap books","3,530","1,366",-10,0.73,0.56,0.88,636,387,26,1,0,0,0,,
"cocktail accessories",68,"1,366",-9,1.24,0.87,1.46,652,">20,000",26,1,0,0,0,,
"new zealand",228,"1,366",7,0.98,0.7,1.48,641,">6,000",37,0,0,1,35,,
"snacks box",46,"1,366",-12,0.93,0.65,1.12,682,">30,000",26,1,0,0,1,,
"indoor garden kit",342,"1,366",7,1.17,0.8,1.32,546,">4,000",26,1,0,1,0,,
"herb","8,870","1,366",-9,0.72,0.58,0.96,526,154,36,1,0,0,32,,
"temporary hair color for kids","4,152","1,366",-9,0.78,0.54,1.03,517,329,28,1,0,0,8,,
"fun gadgets",137,"1,366",7,0.81,0.58,0.95,875,">10,000",26,1,0,0,0,,
"baby travel bag",137,"1,366",-19,0.8,0.58,1.11,611,">10,000",26,1,0,0,2,,
"foods",7,"1,366",-14,1.14,0.77,1.54,744,">200,000",27,1,0,0,4,,
"lego 60424","80,294","1,365",51,0.73,0.44,0.79,39,17,26,1,0,0,0,,
"stanley chroma","11,098","1,365",3,0.67,0.57,0.78,218,123,26,1,0,0,0,,
"razor gold email delivered 50","341,250","1,365",-46,1.28,0.55,1.54,34,4,26,1,0,0,0,,
"girls stuff 10-12 years old","1,365","1,365",14,1.08,0.86,1.29,389,">1,000",26,1,0,0,0,,
"travel size essentials for women",17,"1,365",-7,0.69,0.42,0.97,775,">80,000",26,1,0,0,0,,
"stocking stiffers",15,"1,365",142,1.01,0.75,1.39,313,">90,000",26,1,0,0,0,,
"$5 items",14,"1,365",3,1.07,0.76,1.23,573,">100,000",26,1,0,0,0,,
"stanley cup tumbler",152,"1,365",-8,0.69,0.53,0.7,846,">9,000",26,1,0,0,0,,
"headache relief products",152,"1,365",3,2.01,1.42,2.1,481,">9,000",26,1,0,0,0,,
"dad gofts",14,"1,365",60,1.25,0.95,1.56,294,">100,000",26,1,0,0,0,,
"gofts",14,"1,365",33,1.11,0.83,1.43,413,">100,000",26,1,0,0,0,,
"stanley brown","4,707","1,365",26,0.61,0.5,0.7,422,290,26,1,0,0,0,,
"disney merch",273,"1,365",-8,0.64,0.55,0.87,594,">5,000",26,1,0,0,0,,
"house hold items",27,"1,365",21,0.94,0.69,1.06,540,">50,000",26,1,0,0,0,,
"book of unusual knowledge","3,337","1,365",76,1,0.75,1.17,364,409,26,1,0,0,2,,
"college snacks","1,365","1,365",-29,0.96,0.7,1.48,606,">1,000",26,1,0,0,1,,
"squishy lamp","2,735","1,365",30,1.11,0.87,1.22,292,">499",26,1,0,0,1,,
"vacation must haves",46,"1,365",-25,0.8,0.6,0.97,819,">30,000",26,1,0,0,2,,
"funny blankets for adults",455,"1,365",56,0.87,0.66,1.03,396,">3,000",26,1,0,0,1,,
"blanket sweaters for women","2,167","1,365",42,0.81,0.63,1.01,496,">630",26,1,0,0,0,,
"funny fuzzy socks",683,"1,365",74,0.76,0.61,0.96,479,">2,000",26,1,0,0,0,,
"bagail packing cubes","7,147","1,365",-25,1.17,0.96,1.49,549,191,26,1,0,0,0,,
"smoking",34,"1,365",-4,1.15,0.68,1.16,592,">40,000",36,1,0,0,31,,
"kids girl toys",14,"1,365",31,1.12,0.9,1.43,496,">100,000",26,1,0,0,0,,
"kid stuff",14,"1,365",-3,0.93,0.74,1.37,867,">100,000",26,1,0,0,0,,
"presents for 10 year old girls",683,"1,365",14,1.4,1.15,1.71,415,">2,000",26,1,0,0,0,,
"popcorn kits","4,003","1,365",32,0.62,0.46,0.9,404,341,27,1,0,0,4,,
"9 year old girl",273,"1,365",6,1.2,0.87,1.5,423,">5,000",26,1,0,0,1,,
"tabletop fire pit outdoor","1,365","1,365",-8,1.03,0.74,1.34,677,">1,000",26,1,0,0,2,,
"duck plushie","1,875","1,365",-7,0.5,0.4,0.61,482,">728",27,1,0,0,4,,
"house plant accessories",273,"1,365",-14,0.8,0.54,1.01,842,">5,000",26,1,0,0,0,,
"anxiety hoodie",455,"1,365",-7,0.76,0.53,0.88,618,">3,000",26,1,0,0,0,,
"mini garden","6,349","1,365",-6,0.79,0.6,1.06,529,215,27,1,0,0,3,,
"outdoor porch decor",14,"1,365",-18,0.77,0.62,0.98,758,">100,000",26,1,0,0,1,,
"college snacks care package","1,810","1,365",-22,0.87,0.55,1.09,590,754,26,1,0,0,0,,
"fuzzy sock",455,"1,365",70,1.1,0.88,1.26,460,">3,000",26,1,0,0,0,,
"outdoor garden decor",14,"1,365",-18,0.8,0.67,1.02,712,">100,000",27,1,0,1,4,,
"eye mask massager","3,174","1,365",77,2.35,1.73,2.84,280,">430",28,1,0,0,6,,
"tea cups set",195,"1,365",3,0.5,0.37,0.71,708,">7,000",26,1,0,0,1,,
"emotional support plushies","1,789","1,349",-3,0.64,0.45,0.76,534,">754",26,1,0,0,0,,
"glass terrariums for plants","1,349","1,349",-6,0.64,0.46,0.86,504,">1,000",26,1,0,0,0,,
"indoor house plants",67,"1,349",-22,0.74,0.49,0.84,784,">20,000",26,1,0,0,2,,
"stuffers for stockings",17,"1,347",16,0.94,0.65,1.21,251,">80,000",26,1,0,0,0,,
"stanley with straw",192,"1,347",-11,0.74,0.6,0.92,731,">7,000",26,1,0,0,0,,
"oddities and curiosities","6,692","1,345",11,0.55,0.43,0.72,555,">201",35,1,0,0,29,,
"cámara instantánea para niñas","3,534","1,343",63,1.44,1.02,2.02,360,380,26,1,0,0,0,,
"cherry blossom lego set","2,220","1,343",21,0.74,0.52,0.88,250,605,26,1,0,0,0,,
"snackbox","2,492","1,343",-12,0.79,0.55,1.12,722,">539",27,1,0,0,5,,
"toys 8 year old girl",269,"1,343",-4,1.37,1.16,1.78,454,">5,000",26,1,0,0,0,,
"cravebox","7,492","1,341",22,0.77,0.56,0.87,331,179,37,1,0,0,35,,
"travel photo album","1,341","1,341",4,0.64,0.36,0.99,584,">1,000",27,1,0,0,4,,
"prime overnight eligible items","3,160","1,340",-6,1.31,0.94,1.5,506,424,26,1,0,0,0,,
"tarjeta de regalo apple","47,857","1,340",-10,0.69,0.62,0.77,11,28,26,1,0,0,0,,
"burts bees christmas","3,229","1,340",77,0.8,0.66,0.94,308,">415",26,1,0,0,0,,
"stanley products",268,"1,340",48,0.62,0.39,0.75,606,">5,000",26,1,0,0,1,,
"flores eternas","1,340","1,340",-13,1.17,0.87,1.59,767,">1,000",26,1,0,0,0,,
"work from home must haves",67,"1,338",-8,0.98,0.63,1.17,596,">20,000",26,1,0,0,0,,
"eye massager with heat and vibration and cooling","7,011","1,290",-2,2.67,2.05,3.05,270,184,26,1,0,0,0,,
"under 20.00 dollar items",129,"1,290",-9,0.97,0.61,1.3,497,">10,000",26,1,0,0,0,,
"tumbler with flip straw",430,"1,290",-13,0.66,0.52,0.86,908,">3,000",27,1,0,0,4,,
"eye massage","1,792","1,290",-4,2.13,1.6,2.79,431,">720",28,1,0,0,8,,
"winter women",22,"1,290",68,0.71,0.62,1,403,">60,000",26,1,0,0,0,,
"sweater blanket for women","2,228","1,290",73,0.91,0.66,1.15,501,">579",26,1,0,0,0,,
"funny decor",13,"1,290",0,0.69,0.45,0.89,641,">100,000",26,1,0,0,0,,
"outside decor",13,"1,290",-17,0.79,0.57,1.02,709,">100,000",26,1,0,0,1,,
"discount items",129,"1,290",4,1.22,0.76,1.67,642,">10,000",26,1,0,0,0,,
"travel essential",13,"1,290",-17,0.83,0.54,1.21,551,">100,000",26,1,0,0,2,,
"snack variety",43,"1,290",-9,0.94,0.59,1.48,577,">30,000",27,1,0,0,3,,
"beauty set",16,"1,290",38,0.93,0.75,1.32,503,">80,000",26,1,0,0,0,,
"mug set of 4",430,"1,290",15,0.53,0.4,0.73,378,">3,000",26,1,0,0,2,,
"leakproof stanley lid","1,966","1,288",-27,0.77,0.53,1,493,655,26,1,0,0,0,,
"presents for 7 year old girl",644,"1,288",15,1.38,1.11,1.71,331,">2,000",26,1,0,0,0,,
"cozy blanket hoodie","1,288","1,288",81,0.95,0.74,1.21,468,">1,000",26,1,0,1,1,,
"toys for 10 year olds",322,"1,288",6,1.26,0.96,1.59,453,">4,000",26,1,0,0,0,,
"christmas essentials",21,"1,288",95,1,0.77,1.3,411,">60,000",26,1,0,0,0,,
"flower building set",644,"1,288",61,0.9,0.67,1.11,391,">2,000",26,1,0,0,1,,
"travel food warmer",161,"1,288",35,0.8,0.65,0.9,427,">8,000",26,0,0,1,0,,
"mens tumbler",129,"1,288",19,0.8,0.63,1,360,">10,000",26,1,0,0,0,,
"non fiction",13,"1,288",10,0.83,0.63,1.08,519,">100,000",26,1,0,0,0,,
"cute lights for bedroom",21,"1,288",-2,0.73,0.59,1.02,737,">60,000",26,1,0,0,0,,
"leather bound books",129,"1,288",1,0.62,0.49,0.95,443,">10,000",26,1,0,0,0,,
"cool school supplies",129,"1,288",0,0.52,0.46,0.7,821,">10,000",26,1,0,0,2,,
"fuzzy socks cute","1,288","1,288",72,0.88,0.67,1.12,455,">1,000",26,1,0,0,1,,
"hardcover books",14,"1,288",-11,0.72,0.61,0.83,502,">90,000",26,1,0,0,0,,
"white stanley cup 30 oz","2,665","1,287",20,0.62,0.51,0.69,285,483,26,1,0,0,0,,
"loncheras para hombres de trabajo electricas","3,763","1,287",19,0.67,0.49,0.8,537,342,26,1,0,0,0,,
"stanley 40",644,"1,287",-25,0.44,0.37,0.61,825,">2,000",26,1,0,0,1,,
"treat box",21,"1,287",16,0.72,0.52,0.81,"1,034",">60,000",26,1,0,0,1,,
"sister birthday",13,"1,287",-12,1.38,1.01,1.62,601,">100,000",33,1,0,0,21,,
"plant vase",129,"1,287",3,0.64,0.5,0.88,611,">10,000",26,1,0,0,0,,
"popcorn set",322,"1,287",32,0.91,0.59,1.02,243,">4,000",26,1,0,0,2,,
"house decorations",13,"1,287",15,0.68,0.56,0.93,801,">100,000",26,1,0,0,1,,
"coffee mugs set",184,"1,287",-1,0.53,0.42,0.73,499,">7,000",33,1,0,0,21,,
"charcuterie board￼",214,"1,285",42,1.13,0.85,1.41,332,">6,000",26,1,0,0,0,,
"travel necessities for women",64,"1,285",60,0.84,0.55,1.19,456,">20,000",26,1,0,0,0,,
"small fire pit for patio",643,"1,285",13,1.08,0.7,1.4,661,">2,000",26,1,0,0,0,,
"spa socks for women","1,382","1,285",15,0.89,0.73,1.08,435,">930",26,1,0,0,0,,
"snuggle hoodie","2,282","1,285",89,0.92,0.87,1.14,354,">563",26,1,0,0,1,,
"mint plant","1,285","1,285",-3,0.61,0.46,0.87,646,">1,000",28,0,0,1,8,,
"warm fuzzy socks",643,"1,285",91,1.21,0.97,1.4,403,">2,000",26,1,0,0,1,,
