关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
mothers gift,4,8.0,764.0,68.0,100000.0,11,mom gift
yankee candle warmer electric,4,237.0,219.0,254.0,923.0,8,wax warmer
electric candle warmer with timer,4,367.0,367.0,33.0,1000.0,8,candle warmer
extra large candle warmer,4,84.0,421.0,2.0,5000.0,8,wax warmer
chic gifts,4,3.0,286.0,19.0,100000.0,8,other gift
traditional home decor,4,6.0,644.0,8.0,100000.0,10,home decor
girly decor,4,154.0,1234.0,-3.0,8000.0,26,home decor
crystal candle warmer,4,603.0,413.0,13.0,685.0,8,wax warmer
black aesthetic room decor,4,11.0,429.0,-4.0,40000.0,8,home decor
succulent wax warmer,4,954.0,289.0,20.0,303.0,8,wax warmer
light candle,4,17.0,340.0,1.0,20000.0,8,wax warmer
flower wax warmer,4,472.0,335.0,21.0,709.0,8,wax warmer
electric lamp candle warmer,4,228.0,228.0,34.0,1000.0,8,candle warmer
gifts for working women,4,10.0,381.0,61.0,40000.0,8,gift for women
wax warmer timer,4,713.0,368.0,1.0,516.0,8,candle warmer
candle warmer silver,4,291.0,581.0,5.0,2000.0,9,wax warmer
candle light burner,4,433.0,280.0,,646.0,8,wax warmer
bee wax candles,4,1281.0,351.0,-5.0,274.0,8,wax warmer
cute lamps,4,300.0,2696.0,-15.0,9000.0,28,aromatherapy
home devor,4,3.0,349.0,-12.0,100000.0,8,home decor
large wax warmer,4,145.0,434.0,-1.0,3000.0,8,wax warmer
christmas lamps,4,19.0,375.0,-56.0,20000.0,8,aromatherapy
candle melt lamp,4,384.0,384.0,-2.0,1000.0,8,candle warmer
calentador de velas,4,322.0,644.0,32.0,2000.0,10,aromatherapy
candle warmer with candle,4,19.0,388.0,42.0,20000.0,8,wax warmer
bath and body works candle warmer,4,1139.0,335.0,213.0,294.0,8,wax warmer
house gifts for mom,4,7.0,286.0,97.0,40000.0,8,mom gift
cute white elephant gifts,4,57.0,397.0,94.0,7000.0,8,white elephant
candle wax warmer lamp,4,384.0,384.0,29.0,1000.0,8,candle warmer
cabdle warmer,4,13.0,397.0,13.0,30000.0,8,wax warmer
candlw warmer,4,8.0,253.0,,30000.0,8,wax warmer
candle wsrmer,4,14.0,415.0,3.0,30000.0,8,wax warmer
boho candle,4,441.0,368.0,1.0,835.0,8,wax warmer
wax warmer for scented wax with timer,4,407.0,216.0,-24.0,531.0,8,candle warmer
fireplace candle warmer,4,185.0,370.0,22.0,2000.0,8,wax warmer
best candle warmer,4,189.0,378.0,9.0,2000.0,8,wax warmer
heat candle lamp,4,357.0,328.0,15.0,918.0,8,candle warmer
bedroom gifts for women,4,4.0,351.0,31.0,90000.0,8,gift for women
wac warmer,4,80.0,319.0,-6.0,4000.0,8,wax warmer
baccarat rouge candle,4,3500.0,378.0,7.0,108.0,8,wax warmer
neutral home decor aesthetic,4,78.0,698.0,-8.0,9000.0,10,home decor
coastal granddaughter room decor,4,5377.0,2984.0,-9.0,555.0,31,home decor
things that look like other things decor,4,29.0,265.0,19.0,9000.0,8,home decor
candle warmer lamp flower shape,4,686.0,341.0,161.0,497.0,8,candle warmer
hestia candle warmer,4,909.0,420.0,76.0,462.0,8,wax warmer
2 pack candle warmer lamp,4,437.0,437.0,47.0,1000.0,8,candle warmer
candle warmer lamp farmhouse,4,641.0,370.0,5.0,577.0,8,candle warmer
wax warmer lamp for scented wax,4,343.0,343.0,13.0,1000.0,8,candle warmer
candle warmer lantern lamp,4,317.0,317.0,28.0,1000.0,8,candle warmer
candle warmer adjustable,4,418.0,402.0,8.0,961.0,8,wax warmer
aromatherapy lamp candle warmer,4,380.0,311.0,46.0,819.0,8,candle warmer
retro candle warmer lamp,4,450.0,268.0,70.0,596.0,8,candle warmer
candle lamp warmer black,4,483.0,359.0,99.0,744.0,8,candle warmer
melting candle lamp,4,373.0,373.0,18.0,1000.0,8,candle warmer
marycele,4,3926.0,373.0,-4.0,95.0,8,home decor
cloud candle warmer lamp,4,553.0,364.0,40.0,658.0,8,candle warmer
soilsiu candle warmer lamp with timer,4,677.0,352.0,65.0,520.0,8,candle warmer
loowoko candle warmer lamp,4,455.0,235.0,306.0,517.0,8,candle warmer
candle warmer lamp for teen girls,4,625.0,324.0,18.0,518.0,8,candle warmer
wooden candle warmer lamp,4,458.0,312.0,25.0,681.0,8,candle warmer
candle warmer lantern with timer,4,489.0,317.0,32.0,648.0,8,candle warmer
bronze candle warmer lamp,4,630.0,354.0,-1.0,562.0,8,candle warmer
adult white elephant gifts useful,4,232.0,232.0,-17.0,1000.0,8,white elephant
canle warmer,4,10.0,303.0,-15.0,30000.0,8,wax warmer
candles for lamp warmers,4,346.0,346.0,8.0,1000.0,8,candle warmer
candle.warmer lamp,4,299.0,299.0,-11.0,1000.0,8,candle warmer
unique candle warmer lamp,4,871.0,296.0,15.0,340.0,8,candle warmer
candle warmer lamp cheap,4,81.0,407.0,-7.0,5000.0,8,candle warmer
candle related gifts,4,362.0,271.0,-6.0,749.0,8,wax warmer
white elephant gifts for adults under 35,4,535.0,253.0,2.0,473.0,8,white elephant
candle warmers￼,4,57.0,341.0,5.0,6000.0,8,wax warmer
black candle lamp warmer,4,373.0,268.0,13.0,719.0,8,candle warmer
white elephant gadgets,4,391.0,219.0,0.0,560.0,8,white elephant
candle warmer lamp with timer adjustable,4,336.0,311.0,,925.0,8,candle warmer
awesome white elephant gifts for adults,4,84.0,253.0,,3000.0,8,white elephant
candle lamp adjustable,4,138.0,275.0,,2000.0,8,candle warmer
self care white elephant gifts,4,390.0,244.0,,625.0,8,white elephant
tiffany lamp candle warmer,4,498.0,312.0,,626.0,8,candle warmer
cupcake and cashmere candle warmer,4,2272.0,359.0,,158.0,8,wax warmer
candle warmer lamp for tall jar candles,4,317.0,317.0,,1000.0,8,candle warmer
white elephant good gifts,4,35.0,280.0,,8000.0,8,white elephant
scented candles for lamp warmers,4,232.0,232.0,,1000.0,8,wax warmer
mothers day,5,11.0,1052.0,19.0,100000.0,34,mom gift
mothers birthday gift,5,2.0,235.0,-24.0,100000.0,8,mom gift
new house gifts,5,6.0,517.0,133.0,90000.0,9,house warming
home warming gifts,5,7.0,335.0,13.0,50000.0,8,house warming
house decor gifts,5,4.0,423.0,182.0,100000.0,8,house warming
vintage room decor,5,58.0,5816.0,-19.0,100000.0,31,home decor
home decor under 20 dollars,5,2.0,247.0,36.0,100000.0,8,home decor
flameless candle burner,5,274.0,274.0,317.0,1000.0,8,wax warmer
retro game decor,5,24.0,241.0,30.0,10000.0,8,home decor
best gifts for mother in law,5,19.0,388.0,49.0,20000.0,8,mom gift
candle wax burner,5,198.0,396.0,0.0,2000.0,8,wax warmer
electric candle lamp warmer,5,344.0,344.0,7.0,1000.0,8,candle warmer
gifts for new mothers,5,5.0,517.0,79.0,100000.0,9,mom gift
counter lamp,5,679.0,645.0,-8.0,950.0,10,aromatherapy
warmer candle,5,80.0,399.0,4.0,5000.0,8,wax warmer
dresser decor,5,63.0,3760.0,-5.0,60000.0,29,home decor
candle warmer bath and body works,5,280.0,280.0,195.0,1000.0,8,wax warmer
vintage lamp for bedroom,5,43.0,429.0,3.0,10000.0,8,aromatherapy
candle light lamp,5,37.0,370.0,18.0,10000.0,8,candle warmer
guest room wall decor,5,14.0,429.0,-18.0,30000.0,8,home decor
antique home decor,5,15.0,1050.0,18.0,70000.0,25,home decor
anthropologie decor,5,840.0,644.0,5.0,767.0,10,home decor
elephant candle warmer,5,365.0,216.0,57.0,592.0,8,wax warmer
cute birthday gifts for women,5,5.0,484.0,-44.0,100000.0,9,gift for women
cute lamps for bedrooms,5,83.0,1663.0,-8.0,20000.0,27,aromatherapy
pretty home decor,5,2.0,232.0,586.0,100000.0,8,home decor
top 100 gifts for women,5,58.0,232.0,190.0,4000.0,8,gift for women
rustic candle warmer,5,422.0,372.0,-8.0,882.0,8,wax warmer
top candle warmer,5,435.0,413.0,4.0,949.0,8,wax warmer
electric wax warmers,5,250.0,250.0,2.0,1000.0,8,wax warmer
vintage gift,5,3.0,348.0,31.0,100000.0,8,other gift
cute home gifts,5,2.0,219.0,247.0,100000.0,8,house warming
green candle warmer,5,218.0,436.0,-2.0,2000.0,8,wax warmer
christmas gifts for home,5,6.0,580.0,112.0,100000.0,9,house warming
christmas gifts for house,5,3.0,324.0,51.0,100000.0,8,house warming
home gofts,5,2.0,362.0,116.0,200000.0,8,home decor
adult gifts under 50 dollars,5,2.0,341.0,72.0,200000.0,8,other gift
home gifts under 50,5,3.0,238.0,328.0,90000.0,8,house warming
farmhouse gifts for women,5,14.0,271.0,14.0,20000.0,8,gift for women
table top candle warmer,5,50.0,250.0,94.0,5000.0,8,wax warmer
new home gifts for home,5,3.0,308.0,11.0,100000.0,8,house warming
candel warmer lamp,5,375.0,375.0,4.0,1000.0,8,candle warmer
hard to buy for women gift ideas,5,99.0,394.0,95.0,4000.0,8,gift for women
large candle warmer for 3 wick candles,5,361.0,314.0,16.0,870.0,8,wax warmer
candle warmer lamp adjustable height,5,1012.0,820.0,74.0,810.0,11,candle warmer
candle+warmer+lamp,5,336.0,336.0,13.0,1000.0,8,candle warmer
adjustable candle warmer,5,463.0,437.0,24.0,943.0,8,wax warmer
candle warmer lamp marble,5,797.0,421.0,2.0,528.0,8,candle warmer
candle warmer lamp set of 2,5,591.0,439.0,8.0,743.0,8,candle warmer
aikut candle warmer lamp,5,683.0,364.0,-15.0,533.0,8,candle warmer
heat lamp candle warmer,5,429.0,383.0,16.0,893.0,8,candle warmer
candle warmer lamp 3 wick,5,658.0,388.0,18.0,590.0,8,candle warmer
candle warmer lamp dimmable,5,256.0,256.0,78.0,1000.0,8,candle warmer
candle warmer lamp with timer 2 pack,5,346.0,346.0,188.0,1000.0,8,candle warmer
candle warmer lamp bath and body works,5,734.0,402.0,85.0,548.0,8,candle warmer
stained glass candle warmer lamp,5,797.0,424.0,4.0,532.0,8,candle warmer
geezo candle warmer lamp,5,695.0,362.0,27.0,521.0,8,candle warmer
christmas gifts for home decor,5,3.0,250.0,,100000.0,8,house warming
white elephant 25,5,91.0,273.0,223.0,3000.0,8,white elephant
candle lamp warmers,5,311.0,311.0,37.0,1000.0,8,candle warmer
white elephant gifts gender neutral,5,1272.0,271.0,285.0,213.0,8,white elephant
purple candle warmer lamp,5,816.0,436.0,30.0,534.0,8,candle warmer
mini candle warmer lamp,5,680.0,365.0,99.0,537.0,8,candle warmer
cnadle warmer,5,11.0,317.0,5.0,30000.0,8,wax warmer
candle warmer lamp seenlast,5,720.0,381.0,-8.0,529.0,8,candle warmer
scented jar candles for candle warmer lamps,5,392.0,392.0,9.0,1000.0,8,wax warmer
candeldo candle warmer lamp,5,772.0,423.0,-57.0,548.0,8,candle warmer
candle warmer lamp green glass,5,751.0,367.0,-25.0,489.0,8,candle warmer
farmhouse candle warmer lamp with timer,5,608.0,349.0,-7.0,574.0,8,candle warmer
white and gold candle warmer,5,1094.0,304.0,3.0,278.0,8,wax warmer
practical christmas gifts for mom,5,27.0,265.0,-3.0,10000.0,8,mom gift
clearance candle warmer lamp,5,244.0,244.0,-9.0,1000.0,8,candle warmer
candle warmer lamp two pack,5,283.0,283.0,-1.0,1000.0,8,candle warmer
candle warmer electric wax melt lamp,5,271.0,271.0,-25.0,1000.0,8,candle warmer
"white elephant gift ideas, for adult women",5,29.0,289.0,,10000.0,8,white elephant
cheap candle warmer lamp,5,63.0,317.0,,5000.0,8,candle warmer
red candle warmer lamp,5,467.0,268.0,,574.0,8,candle warmer
pink flower candle warmer lamp,5,638.0,241.0,,378.0,8,candle warmer
candle warmer amber,5,219.0,219.0,,1000.0,8,wax warmer
lamp and candle warmer,5,262.0,262.0,,1000.0,8,candle warmer
flame to flower candles,5,286.0,286.0,,1000.0,8,wax warmer
lamp candle warmer black,5,253.0,253.0,,1000.0,8,candle warmer
home decor under 25,6,11.0,216.0,289.0,20000.0,8,home decor
candke warmer lamp,6,259.0,259.0,,1000.0,8,candle warmer
women gifts under 50 dollars,6,1.0,216.0,62.0,200000.0,8,gift for women
girls white elephant gift,6,64.0,256.0,69.0,4000.0,8,white elephant
electric candle burner,6,324.0,324.0,33.0,1000.0,8,wax warmer
melt warmer,6,124.0,373.0,-5.0,3000.0,8,wax warmer
candle warmer for men,6,103.0,413.0,21.0,4000.0,8,wax warmer
candle warmer gift set,6,25.0,250.0,247.0,10000.0,8,wax warmer
candle warmers wax melts,6,215.0,429.0,-11.0,2000.0,8,wax warmer
top rated gifts,6,10.0,304.0,28.0,30000.0,8,other gift
wax burner with timer,6,682.0,244.0,14.0,358.0,8,candle warmer
candles lamp,6,216.0,216.0,85.0,1000.0,8,candle warmer
gifts for home decor,6,4.0,415.0,42.0,100000.0,8,house warming
rose gold candle warmer,6,421.0,225.0,84.0,534.0,8,wax warmer
candle stuff,6,32.0,222.0,1.0,7000.0,8,wax warmer
blue candle warmer,6,469.0,372.0,34.0,794.0,8,wax warmer
flameless candle lamp,6,85.0,424.0,-12.0,5000.0,8,candle warmer
candle warm,6,23.0,225.0,5.0,10000.0,8,wax warmer
home decor christmas gifts,6,3.0,283.0,48.0,100000.0,8,house warming
luxury gifts under 50,6,352.0,289.0,-3.0,820.0,8,other gift
boho shelf decor items,6,129.0,388.0,-26.0,3000.0,8,home decor
mom gifts for new mom,6,5.0,370.0,-7.0,70000.0,8,mom gift
white elephant gifts for adults 25 dollars,6,400.0,400.0,447.0,1000.0,8,white elephant
$50 gifts for women,6,2.0,213.0,4.0,100000.0,8,gift for women
rechargeable candle warmer,6,968.0,765.0,-6.0,790.0,11,wax warmer
candle warmer lamp farmhouse style,6,1154.0,644.0,31.0,558.0,10,candle warmer
marycele candle warmer lamp with timer,6,1074.0,580.0,17.0,540.0,9,candle warmer
aimoptg candle warmer lamp,6,797.0,416.0,34.0,522.0,8,candle warmer
blue candle warmer lamp,6,789.0,420.0,12.0,532.0,8,candle warmer
candle lamp black,6,576.0,330.0,30.0,573.0,8,candle warmer
candle warmer lamp with marble base,6,647.0,341.0,18.0,527.0,8,candle warmer
$25 white elephant,6,45.0,268.0,,6000.0,8,white elephant
candle for warmer lamp,6,415.0,415.0,30.0,1000.0,8,candle warmer
candle warmer lamp small,6,372.0,372.0,25.0,1000.0,8,candle warmer
candle warmer with candles,6,121.0,1210.0,53.0,10000.0,26,wax warmer
briever candle warmer lamp,6,927.0,484.0,112.0,522.0,9,candle warmer
malbella candle warmer lamp,6,507.0,265.0,108.0,523.0,8,candle warmer
candle warmer on amazon,6,603.0,400.0,13.0,663.0,8,wax warmer
candle warmer and candle,6,42.0,253.0,3.0,6000.0,8,wax warmer
"candle warmer lamp, candle lamp wax warmer heating lamp, timer & dimmer 7-levels, fits cup jar candl",6,515.0,271.0,-15.0,526.0,8,candle warmer
amber candle warmer,6,277.0,277.0,-10.0,1000.0,8,wax warmer
one fire cordless lamp,6,216.0,216.0,-12.0,1000.0,8,aromatherapy
skjrvrh,6,140000.0,280.0,9.0,2.0,8,home decor
practical gifts for moms,6,12.0,247.0,-26.0,20000.0,8,mom gift
candle warmer lamp butterfly,6,494.0,244.0,-1.0,494.0,8,candle warmer
three wick candle warmer,6,285.0,238.0,-10.0,836.0,8,wax warmer
mushroom candle warmer lamp,6,396.0,271.0,4.0,684.0,8,candle warmer
antique candle warmer lamp,6,1399.0,256.0,-16.0,183.0,8,candle warmer
lamp heater for candles,6,314.0,314.0,5.0,1000.0,8,candle warmer
ladies white elephant gift ideas,6,23.0,225.0,,10000.0,8,white elephant
candle warmer marycele,6,939.0,402.0,,428.0,8,wax warmer
heat lamp for candle,6,281.0,253.0,,900.0,8,candle warmer
lamps that heat candles,6,410.0,286.0,,698.0,8,candle warmer
yonbafld,6,28000.0,280.0,,10.0,8,home decor
pretty candle warmer lamp,6,735.0,277.0,,377.0,8,candle warmer
candy warmer lamp,6,494.0,317.0,,642.0,8,candle warmer
candle warmer lamp with timer white,6,352.0,250.0,,710.0,8,candle warmer
decor for home,7,5.0,484.0,-4.0,100000.0,9,home decor
new job gifts,7,10.0,416.0,31.0,40000.0,8,other gift
jar candle warmer,7,423.0,423.0,15.0,1000.0,8,wax warmer
battery operated candle warmer,7,2981.0,2981.0,0.0,1000.0,28,wax warmer
home decor for women,7,4.0,370.0,5.0,100000.0,8,home decor
flameless candle warmer,7,86.0,428.0,17.0,5000.0,8,wax warmer
love decor,7,7.0,701.0,17.0,100000.0,10,home decor
cozy lamp,7,205.0,1232.0,-20.0,6000.0,26,aromatherapy
candle warmer battery operated,7,1162.0,1162.0,-4.0,1000.0,26,wax warmer
candle warmer christmas,7,42.0,253.0,-13.0,6000.0,8,wax warmer
candle warmer large,7,74.0,372.0,13.0,5000.0,8,wax warmer
auto shut off candle warmer,7,378.0,367.0,13.0,970.0,8,wax warmer
christmas lamp,7,53.0,1050.0,-53.0,20000.0,26,aromatherapy
warmer lamp,7,429.0,429.0,14.0,1000.0,8,candle warmer
electric wax melt warmer with timer,7,644.0,311.0,-12.0,483.0,8,candle warmer
masculine candle warmer,7,362.0,216.0,159.0,597.0,8,wax warmer
adult gender neutral gifts,7,383.0,280.0,86.0,731.0,8,gift for women
wireless candle warmer,7,1953.0,1592.0,2.0,815.0,26,wax warmer
sunflower candle warmer,7,789.0,348.0,83.0,441.0,8,wax warmer
home decore,7,14.0,1431.0,-4.0,100000.0,26,home decor
lamp gift,7,5.0,238.0,3762.0,50000.0,8,aromatherapy
wax watmer,7,103.0,412.0,-2.0,4000.0,8,wax warmer
gifts for the house,7,4.0,405.0,121.0,100000.0,8,house warming
gifts for new house,7,4.0,328.0,112.0,90000.0,8,house warming
purple candle warmer,7,744.0,517.0,31.0,695.0,9,wax warmer
wax warmer for scented wax electric,7,376.0,376.0,10.0,1000.0,8,wax warmer
vintage candle warmer,7,620.0,400.0,5.0,645.0,8,wax warmer
practical christmas gifts for women,7,6.0,259.0,13.0,40000.0,8,gift for women
country candle,7,51.0,253.0,135.0,5000.0,8,wax warmer
christmas gift for new mom,7,4.0,341.0,83.0,80000.0,8,mom gift
heat lamp candle,7,348.0,316.0,2075.0,909.0,8,candle warmer
heating candle lamp,7,499.0,354.0,73.0,709.0,8,candle warmer
candle wax lamp,7,256.0,256.0,148.0,1000.0,8,candle warmer
lampara para velas,7,891.0,484.0,17.0,543.0,9,aromatherapy
candle warmer wax melter,7,142.0,283.0,33.0,2000.0,8,wax warmer
candle warmer with lamp,7,384.0,384.0,34.0,1000.0,8,candle warmer
gifts for the home for women,7,2.0,225.0,,100000.0,8,gift for women
house gifts for new home,7,4.0,241.0,3.0,60000.0,8,house warming
candle warmer electric lantern,7,216.0,216.0,219.0,1000.0,8,wax warmer
morher in law gifts,7,13.0,262.0,151.0,20000.0,8,other gift
top down candle warmer,7,587.0,405.0,64.0,690.0,8,wax warmer
luzdiosa candle warmer lamp,7,437.0,232.0,-16.0,531.0,8,candle warmer
whimsigoth home decor,7,2194.0,2194.0,-17.0,1000.0,27,home decor
candle warner,7,35.0,1053.0,42.0,30000.0,25,wax warmer
lantern candle warmer lamp,7,383.0,383.0,39.0,1000.0,8,candle warmer
candle warmer lamp cordless,7,990.0,762.0,-13.0,770.0,11,candle warmer
candle warmer 2 pack,7,208.0,415.0,17.0,2000.0,8,wax warmer
candle warmer lamp wood,7,726.0,516.0,37.0,711.0,9,candle warmer
camdle warmer,7,11.0,317.0,31.0,30000.0,8,wax warmer
heated candle warmer lamp,7,448.0,410.0,8.0,916.0,8,candle warmer
warmer candle lamp,7,396.0,396.0,6.0,1000.0,8,candle warmer
candles lamp warmer,7,213.0,213.0,69.0,1000.0,8,candle warmer
wax melt warmer tea light candle,7,370.0,319.0,-16.0,863.0,8,wax warmer
amber candle warmer lamp,7,597.0,341.0,83.0,571.0,8,candle warmer
black candle warmer lamp with timer,7,473.0,324.0,34.0,685.0,8,candle warmer
nonvjj candle warmer lamp,7,485.0,247.0,30.0,509.0,8,candle warmer
candle warmer lamp tigqiang,7,508.0,277.0,56.0,545.0,8,candle warmer
women home gifts,7,2.0,235.0,,100000.0,8,gift for women
euaonya candle warmer lamp,7,683.0,349.0,235.0,511.0,8,candle warmer
malbella essentials candle warmer lamp,7,501.0,354.0,99.0,706.0,8,candle warmer
useful gifts for white elephant,7,121.0,241.0,-54.0,2000.0,8,white elephant
candle warmer lamp 2 pack best seller,7,653.0,356.0,-7.0,545.0,8,candle warmer
candle warmer lamp brass,7,343.0,262.0,1.0,764.0,8,candle warmer
cancle warmer,7,9.0,256.0,16.0,30000.0,8,wax warmer
cozy white elephant gifts,7,244.0,244.0,3.0,1000.0,8,white elephant
wood base candle warmer lamp,7,348.0,232.0,-20.0,666.0,8,candle warmer
western candle warmer lamp,7,431.0,274.0,-13.0,635.0,8,candle warmer
candle warmer lamp on sale,7,485.0,268.0,,553.0,8,candle warmer
candle warmer lamp candles,7,392.0,392.0,,1000.0,8,candle warmer
gift for new apartment women,7,7.0,274.0,,40000.0,8,gift for women
adjustable height candle warmer,7,298.0,298.0,,1000.0,8,wax warmer
candle warmer lamp sunflower,7,750.0,375.0,,500.0,8,candle warmer
candle warmer lamp white base,7,357.0,244.0,,684.0,8,candle warmer
decor gifts,8,4.0,405.0,59.0,100000.0,8,house warming
birthday for mom,8,6.0,581.0,-27.0,100000.0,9,mom gift
scented wax warmer electric,8,376.0,376.0,1.0,1000.0,8,wax warmer
what elephant gifts,8,72.0,216.0,123.0,3000.0,8,white elephant
best presents for mom,8,3.0,265.0,6.0,100000.0,8,mom gift
useful gifts under 25,8,122.0,244.0,130.0,2000.0,8,other gift
best christmas gifts for women,8,3.0,645.0,20.0,200000.0,10,gift for women
gold bedroom decor,8,44.0,2197.0,-2.0,50000.0,27,home decor
gifts under 50 dollars for women,8,3.0,644.0,4.0,200000.0,10,gift for women
birthday mom gifts,8,3.0,341.0,3.0,100000.0,8,mom gift
christmas gift woman,8,4.0,415.0,69.0,100000.0,8,gift for women
astrology decor,8,381.0,762.0,12.0,2000.0,11,home decor
moody decor,8,1100.0,2199.0,-5.0,2000.0,27,home decor
magnolia home decor,8,403.0,1208.0,22.0,3000.0,26,home decor
boutique gifts for women,8,25.0,253.0,252.0,10000.0,8,gift for women
wax warmer light,8,219.0,437.0,-2.0,2000.0,8,wax warmer
yankee candle warm luxe cashmere,8,2897.0,336.0,-3.0,116.0,8,wax warmer
wax lamp,8,516.0,516.0,-4.0,1000.0,9,aromatherapy
cndle warmer,8,8.0,253.0,37.0,30000.0,8,wax warmer
boho wax warmer,8,1217.0,516.0,-2.0,424.0,9,wax warmer
tapered candle holder,8,219.0,437.0,-34.0,2000.0,8,wax warmer
cool candle warmer,8,213.0,213.0,308.0,1000.0,8,wax warmer
cute candle warmer,8,820.0,820.0,-8.0,1000.0,11,wax warmer
candles mom,8,32.0,253.0,808.0,8000.0,8,wax warmer
pretty candle warmer,8,265.0,265.0,7.0,1000.0,8,wax warmer
pink candle warmer,8,1353.0,1093.0,24.0,808.0,26,wax warmer
gifts for candle lovers,8,86.0,344.0,36.0,4000.0,8,wax warmer
mom christmas gofts,8,3.0,268.0,8.0,100000.0,8,mom gift
candle warmwe,8,15.0,436.0,22.0,30000.0,8,wax warmer
candle warmer lanp,8,335.0,335.0,30.0,1000.0,8,wax warmer
classy white elephant gifts,8,281.0,213.0,61.0,759.0,8,white elephant
hestia candle warmer lamp,8,403.0,213.0,136.0,529.0,8,candle warmer
sokcvsea fragrance candle warmer lamp,8,528.0,280.0,-71.0,530.0,8,candle warmer
practical white elephant gifts for adults,8,416.0,416.0,125.0,1000.0,8,white elephant
women white elephant gifts,8,36.0,356.0,73.0,10000.0,8,white elephant
cozyberry,8,6778.0,244.0,685.0,36.0,8,home decor
ladies birthday gifts for women,8,4.0,418.0,-15.0,100000.0,8,gift for women
cordless candle warmer lamp,8,1816.0,1384.0,-1.0,762.0,26,candle warmer
green candle warmer lamp,8,1904.0,1053.0,44.0,553.0,26,candle warmer
candle warmer lamp rustic,8,722.0,434.0,14.0,601.0,8,candle warmer
lamp with candle warmer,8,421.0,421.0,6.0,1000.0,8,candle warmer
useful christmas gifts for adults,8,39.0,271.0,39.0,7000.0,8,other gift
gift ideas under $50,8,3.0,277.0,24.0,100000.0,8,other gift
lampara calentador de velas,8,581.0,581.0,27.0,1000.0,9,aromatherapy
white elephant $50,8,574.0,216.0,201.0,376.0,8,white elephant
candle warmer lamp with candle,8,424.0,424.0,117.0,1000.0,8,candle warmer
candle warmer lamp under 25,8,1888.0,253.0,186.0,134.0,8,candle warmer
black and gold candle warmer lamp,8,694.0,372.0,129.0,536.0,8,candle warmer
candle warmer lamp with remote control,8,598.0,335.0,119.0,560.0,8,candle warmer
heated lamp for candles,8,446.0,410.0,46.0,919.0,8,candle warmer
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass moder",8,3169.0,1648.0,52.0,520.0,26,candle warmer
lukasa candle warmer lamp,8,727.0,391.0,-19.0,538.0,8,candle warmer
candle warmer lamp modern style,8,356.0,228.0,-4.0,641.0,8,candle warmer
35 dollar gifts for white elephant,8,557.0,330.0,64.0,592.0,8,white elephant
"better homes and gardens candle warmer lamp, black ribbed glass",8,542.0,274.0,,506.0,8,candle warmer
candle warmer adjustable lamp,8,140.0,280.0,,2000.0,8,candle warmer
copinpin candle warmer lamp,8,1014.0,429.0,,423.0,8,candle warmer
candler warmer,8,9.0,262.0,,30000.0,8,wax warmer
house warming presents,9,25.0,247.0,240.0,10000.0,8,house warming
birthday gift woman,9,2.0,341.0,-19.0,200000.0,8,gift for women
top christmas gifts,9,16.0,1591.0,26.0,100000.0,26,other gift
wax melt lamp,9,439.0,439.0,10.0,1000.0,8,candle warmer
funky home decor,9,72.0,1431.0,-4.0,20000.0,26,home decor
wickless candle warmer,9,276.0,256.0,22.0,928.0,8,wax warmer
cordless candle warmer,9,2426.0,2426.0,-4.0,1000.0,27,wax warmer
glass decor,9,12.0,1162.0,28.0,100000.0,26,home decor
beyonce candle,9,2441.0,271.0,33.0,111.0,8,wax warmer
csndle warmer,9,9.0,265.0,138.0,30000.0,8,wax warmer
silver candle warmer,9,976.0,519.0,14.0,532.0,9,wax warmer
candle warmers with timers,9,289.0,289.0,3.0,1000.0,8,candle warmer
candle lover gifts,9,65.0,259.0,65.0,4000.0,8,wax warmer
candle wamer,9,13.0,397.0,17.0,30000.0,8,wax warmer
unique candle warmer,9,253.0,253.0,33.0,1000.0,8,wax warmer
christmas gifts for ladies,9,3.0,330.0,15.0,100000.0,8,gift for women
home decor gift,9,4.0,424.0,54.0,100000.0,8,house warming
mothers christmas gift,9,3.0,314.0,109.0,100000.0,8,mom gift
wax melter lamp,9,437.0,437.0,3.0,1000.0,8,candle warmer
mama gifts for women,9,4.0,383.0,36.0,100000.0,8,mom gift
white elephant gifts for adults useful 25,9,615.0,415.0,50.0,675.0,8,white elephant
steelers lava lamp,9,1444.0,283.0,31.0,196.0,8,aromatherapy
wax warmwr,9,90.0,360.0,-3.0,4000.0,8,wax warmer
candle burning lamp,9,506.0,408.0,11.0,807.0,8,candle warmer
candle warmer lamp battery operated,9,2201.0,1052.0,-2.0,478.0,25,candle warmer
christmas candle warmer lamp,9,576.0,424.0,-33.0,736.0,8,candle warmer
white elephant christmas gifts under 30 dollars for adults,9,28.0,225.0,53.0,8000.0,8,white elephant
canfle warmer,9,9.0,259.0,21.0,30000.0,8,wax warmer
viral gifts for women,9,396.0,396.0,79.0,1000.0,8,gift for women
25 dollar gifts for white elephant gift exchange,9,415.0,283.0,35.0,682.0,8,white elephant
gifts for mom useful,9,27.0,271.0,12.0,10000.0,8,mom gift
candle warmer lam,9,268.0,268.0,1029.0,1000.0,8,wax warmer
candle warmer lamp amber,9,557.0,311.0,36.0,558.0,8,candle warmer
