关键词词组,关键词销量,Magnet IQ得分,搜索量,搜索量趋势,竞品数,CPR,Cluster
home gift,43,7.0,1432.0,79.0,200000.0,26,gift
candle lamp warmer,826,22423.0,22423.0,60.0,1000.0,55,candle lamp
cnadle warmer,5,11.0,317.0,5.0,30000.0,8,mug warmer
cancle warmer,7,9.0,256.0,16.0,30000.0,8,mug warmer
seen last candle warmer lamp,10,576.0,301.0,-1.0,523.0,8,candle lamp
candle warmet,9,8.0,232.0,,30000.0,8,electric candle warmer
andle warmer,2,12.0,356.0,31.0,30000.0,8,mug warmer
vintage gifts,48,27.0,2704.0,82.0,100000.0,27,gift
heat lamp for candles,15,852.0,764.0,42.0,897.0,11,candle lamp
candle warmwr,28,55.0,1660.0,36.0,30000.0,26,electric candle warmer
cndle warmer,8,8.0,253.0,37.0,30000.0,8,mug warmer
candle heat lamp,28,1284.0,1162.0,25.0,905.0,26,candle lamp
home decor gift,9,4.0,424.0,54.0,100000.0,8,gift
candle earmer,12,13.0,404.0,9.0,30000.0,8,lampara
candle warmer electric wax melt lamp,5,271.0,271.0,-25.0,1000.0,8,candle lamp
candle melting lamp,18,698.0,698.0,1.0,1000.0,10,candle lamp
candle warming light,2,423.0,423.0,10.0,1000.0,8,candle lamp
candal warmer,1,8.0,225.0,-7.0,30000.0,8,mug warmer
candle wax lamp,7,256.0,256.0,148.0,1000.0,8,adjective + lamp
bedroom gifts for women,4,4.0,351.0,31.0,90000.0,8,gift
candle warmer lamp cordless,7,990.0,762.0,-13.0,770.0,11,candle lamp
home gifts under 50,5,3.0,238.0,328.0,90000.0,8,gift
candle warmer with candles,6,121.0,1210.0,53.0,10000.0,26,electric candle warmer
clearance candle warmer lamp,5,244.0,244.0,-9.0,1000.0,8,candle lamp
electric candle warmer lamp with timer,11,283.0,277.0,-33.0,978.0,8,candle warmer
heated candle lamp,12,415.0,380.0,171.0,916.0,8,candle lamp
candle wsrmer,4,14.0,415.0,3.0,30000.0,8,lampara
cupcakes and cashmere candle warmer,11,8522.0,1159.0,68.0,136.0,26,electric candle warmer
candle warmer on amazon,6,603.0,400.0,13.0,663.0,8,electric candle warmer
candles for warmer lamp,1,482.0,482.0,5.0,1000.0,9,candle lamp
candle wax warmer,228,665.0,6645.0,1.0,10000.0,35,wax warmer
tart warmer electric plug in,14,1246.0,516.0,-2.0,414.0,9,mug warmer
warming candle lamp,20,762.0,762.0,39.0,1000.0,11,candle lamp
cabdle warmer,4,13.0,397.0,13.0,30000.0,8,mug warmer
candle+warmer+lamp,5,336.0,336.0,13.0,1000.0,8,candle lamp
candle heat lamps,24,282.0,259.0,-8.0,917.0,8,candle lamp
electric candle warmer,132,1959.0,3917.0,36.0,2000.0,31,electric candle warmer
canfle warmer,9,9.0,259.0,21.0,30000.0,8,mug warmer
home decor,1722,1975.0,197461.0,-24.0,100000.0,265,house decor
scented wax warmer,16,255.0,764.0,-6.0,3000.0,11,wax warmer
battery operated mug warmer,5,1457.0,644.0,1.0,442.0,10,mug warmer
candle warming lamps,2,397.0,397.0,22.0,1000.0,8,candle lamp
candler warmer,8,9.0,262.0,,30000.0,8,electric candle warmer
candle melt lamp,4,384.0,384.0,-2.0,1000.0,8,candle lamp
bath and body works candle warmer,4,1139.0,335.0,213.0,294.0,8,electric candle warmer
candle warmee,43,46.0,1384.0,41.0,30000.0,26,electric candle warmer
new home gifts for home,5,3.0,308.0,11.0,100000.0,8,gift
candle lamps warmer,28,1050.0,1050.0,61.0,1000.0,25,candle lamp
candle and mug warmer,5,324.0,324.0,252.0,1000.0,8,electric candle warmer
electric wax burner,10,439.0,439.0,-5.0,1000.0,8,wax warmer
house warming gifts for women,3,28.0,283.0,-16.0,10000.0,8,gift
cozyberry candle warmer,2,1704.0,317.0,3141.0,186.0,8,electric candle warmer
imenlox dimmable candle warmer lamp,15,489.0,253.0,-27.0,517.0,8,candle lamp
fragrance warmer,13,161.0,644.0,-5.0,4000.0,10,mug warmer
gold candle warmer,22,1262.0,820.0,43.0,650.0,11,electric candle warmer
home devor,4,3.0,349.0,-12.0,100000.0,8,house decor
calentador de taza de cafe,4,408.0,335.0,-1.0,822.0,8,lampara
hello kitty candle warmer,3,976.0,241.0,,247.0,8,electric candle warmer
candles warmer,11,129.0,644.0,25.0,5000.0,10,electric candle warmer
wax warmer battery powered,2,1302.0,405.0,-6.0,311.0,8,wax warmer
candke warmer,17,19.0,567.0,41.0,30000.0,9,mug warmer
heated lamp for candles,8,446.0,410.0,46.0,919.0,8,candle lamp
candles for lamp warmers,4,346.0,346.0,8.0,1000.0,8,candle lamp
cupcake and cashmere candle warmer,4,2272.0,359.0,,158.0,8,electric candle warmer
home decor under 25,6,11.0,216.0,289.0,20000.0,8,house decor
gifts for hosts,15,58.0,581.0,96.0,10000.0,9,gift
top candle warmer,5,435.0,413.0,4.0,949.0,8,electric candle warmer
house warming gifts new home family,12,70.0,418.0,30.0,6000.0,8,gift
candle warmer lamp with,21,243.0,2426.0,7.0,10000.0,38,candle lamp
"candle warmer lamp, electric candle lamp warmer with timer, mom christmas birthday gifts for women, ",25,417.0,225.0,-11.0,540.0,8,electric candle warmer
candle warmers,197,1661.0,6642.0,19.0,4000.0,33,electric candle warmer
boho wax warmer,8,1249.0,516.0,-2.0,413.0,9,wax warmer
candle wrmer,10,13.0,402.0,13.0,30000.0,8,lampara
candle warmer lamp marycele,3,845.0,437.0,2.0,517.0,8,candle lamp
candle warmer lam,9,268.0,268.0,1029.0,1000.0,8,electric candle warmer
csndle warmer,9,9.0,265.0,138.0,30000.0,8,mug warmer
candle warmer lamp brushed nickel,2,2189.0,324.0,6.0,148.0,8,candle lamp
candle accessories,97,623.0,3117.0,57.0,5000.0,29,lampara
"candle warmer lamp, candle lamp wax warmer heating lamp, timer & dimmer 7-levels, fits cup jar candl",6,515.0,271.0,-15.0,526.0,8,candle warmer
maoyue candle warmer lamp,15,452.0,238.0,74.0,526.0,8,candle lamp
bedroom must haves 2024,1,1814.0,439.0,-1.0,242.0,8,house decor
candle warmer lamp with timer dimmer adjustable height,25,396.0,280.0,-12.0,707.0,8,candle warmer
candle soot catcher,2,2030.0,341.0,164.0,168.0,8,lampara
regalos para la casa,1,22.0,216.0,84.0,10000.0,8,lampara
lampara para velas aromaticas,37,7991.0,2693.0,35.0,337.0,27,lampara
wax melt warmers,16,254.0,762.0,-13.0,3000.0,11,wax warmer
candle warmed,1,11.0,324.0,8.0,30000.0,8,electric candle warmer
candle warmer lamps with timer,51,1655.0,1655.0,58.0,1000.0,26,candle warmer
candle warmer lamp for large jar candles,1,274.0,274.0,256.0,1000.0,8,candle lamp
lamp candle burner,1,432.0,277.0,74.0,641.0,8,adjective + lamp
christmas decor gifts for women,14,2.0,241.0,14.0,100000.0,8,gift
cozyberry candle warmer lamp,10,1090.0,581.0,21.0,533.0,9,candle lamp
candle melt warmer,31,277.0,1384.0,8.0,5000.0,26,electric candle warmer
wickless candle warmer,9,276.0,256.0,22.0,928.0,8,electric candle warmer
candle warmer lamp with dimmer,3,863.0,698.0,54.0,809.0,10,candle lamp
malbella essentials candle warmer lamp,7,501.0,354.0,99.0,706.0,8,candle lamp
lamp candle holder,3,134.0,268.0,116.0,2000.0,8,adjective + lamp
cozy home,1,12.0,1232.0,-8.0,100000.0,27,house decor
heat candle lamp,4,357.0,328.0,15.0,918.0,8,candle lamp
christmas gift for new mom,7,4.0,341.0,83.0,80000.0,8,mom gift
candle light warmer lamp,27,1164.0,1164.0,50.0,1000.0,26,candle lamp
candle warner,7,35.0,1053.0,42.0,30000.0,25,lampara
briever dimmable candle warmer lamp with timer,19,1120.0,580.0,40.0,518.0,9,candle warmer
loowoko candle warmer lamp,4,455.0,235.0,306.0,517.0,8,candle lamp
wax warmers for wax melts,114,1241.0,3724.0,4.0,3000.0,29,wax warmer
candlw warmer,4,8.0,253.0,,30000.0,8,mug warmer
candle warmer lamp for large yankee jar candles,2,450.0,259.0,11.0,576.0,8,candle lamp
christmas office gifts,19,3.0,253.0,4.0,100000.0,8,gift
cheap candle warmer,3,59.0,235.0,173.0,4000.0,8,electric candle warmer
lampara de velas aromaticas,1,1291.0,413.0,15.0,320.0,8,lampara
candle warmerlamp,1,489.0,265.0,124.0,542.0,8,electric candle warmer
home decor gold,1,4.0,375.0,15.0,100000.0,8,house decor
candle jar warmer,1,330.0,330.0,21.0,1000.0,8,electric candle warmer
decorative candle warmer,1,330.0,330.0,16.0,1000.0,8,electric candle warmer
candle melter lamp,17,1502.0,1212.0,25.0,807.0,26,candle lamp
small candle warmer lamp,2,644.0,644.0,19.0,1000.0,10,candle lamp
candle warmer and candle,6,42.0,253.0,3.0,6000.0,8,electric candle warmer
jar candle warmer,7,423.0,423.0,15.0,1000.0,8,electric candle warmer
lamp heater for candles,6,314.0,314.0,5.0,1000.0,8,candle lamp
extra large candle warmer,4,84.0,421.0,2.0,5000.0,8,electric candle warmer
candle warmer lamp modern,10,657.0,567.0,15.0,863.0,9,candle lamp
battery operated candle warmer lamp,1,509.0,375.0,6.0,737.0,8,candle lamp
retro candle warmer lamp,4,450.0,268.0,70.0,596.0,8,candle lamp
candle warmer cordless rechargeable,2,362.0,346.0,3.0,956.0,8,electric candle warmer
"better homes and gardens candle warmer lamp, black ribbed glass",8,542.0,274.0,,506.0,8,candle lamp
candle and wax warmer,6,35.0,351.0,-1.0,10000.0,8,wax warmer
cozy berry candle warmer lamp,2,689.0,346.0,-2.0,502.0,8,candle lamp
lamp that melts candles,1,458.0,359.0,90.0,784.0,8,candle lamp
candle melter,60,1494.0,2988.0,11.0,2000.0,29,lampara
warmer lamp,7,429.0,429.0,14.0,1000.0,8,candle lamp
disney candle warmer,3,488.0,286.0,39.0,586.0,8,electric candle warmer
candle warmer lamp clear,1,281.0,247.0,501.0,878.0,8,candle lamp
godonlif candle warmer lamp,35,1923.0,1050.0,-9.0,546.0,25,candle lamp
mug warmer,1099,57093.0,57093.0,77.0,1000.0,105,mug warmer
white candle warmer,23,129.0,644.0,25.0,5000.0,10,electric candle warmer
lamp gift,7,5.0,238.0,3762.0,50000.0,8,adjective + lamp
quemador de velas electrico,1,677.0,376.0,20.0,555.0,8,lampara
candle warmer wireless cordless,1,473.0,274.0,-11.0,579.0,8,electric candle warmer
candle warming lamp,155,3925.0,3925.0,50.0,1000.0,29,candle lamp
light candle warmer lamp,71,2066.0,2066.0,24.0,1000.0,27,candle lamp
candle warmer lamp gold,20,1814.0,1159.0,18.0,639.0,26,candle lamp
heat lamp candle,7,348.0,316.0,2075.0,909.0,8,candle lamp
novamer candle warmer lamp,10,429.0,228.0,31.0,531.0,8,candle lamp
wood candle warmer lamp,1,454.0,319.0,100.0,702.0,8,candle lamp
luzdiosa candle warmer lamp,7,437.0,232.0,-16.0,531.0,8,candle lamp
melting candle lamp,4,373.0,373.0,18.0,1000.0,8,candle lamp
candle warmer lamp with timer: electric candles wax warmers glass lamps for jar candles burner adjus,16,432.0,241.0,-18.0,558.0,8,candle warmer
candle warmer lamp retro,1,356.0,213.0,-19.0,598.0,8,candle lamp
candle warmer timer,13,428.0,428.0,28.0,1000.0,8,candle warmer
candles lamp,6,216.0,216.0,85.0,1000.0,8,adjective + lamp
candle warmer with candle,4,19.0,388.0,42.0,20000.0,8,electric candle warmer
candle wax warmer lamp,4,384.0,384.0,29.0,1000.0,8,candle lamp
wax melt warmer with timer and auto shut off,4,903.0,241.0,344.0,267.0,8,wax warmer
modern candle warmer lamp,22,1451.0,1232.0,80.0,849.0,27,candle lamp
battery candle warmer lamp,2,521.0,400.0,7.0,768.0,8,candle lamp
candle warmer lamp set,1,278.0,228.0,91.0,821.0,8,candle lamp
candela lamp,3,513.0,274.0,65.0,534.0,8,adjective + lamp
loowoko christmas candle warmer lamp,23,2671.0,219.0,,82.0,8,candle lamp
top gifts for women,4,12.0,1164.0,-3.0,100000.0,26,gift
coffee watmer,11,341.0,341.0,33.0,1000.0,8,mug warmer
candle and candle warmer,3,48.0,289.0,,6000.0,8,electric candle warmer
large jar candle warmer,1,349.0,349.0,62.0,1000.0,8,electric candle warmer
candle burner lamp,24,1913.0,1232.0,35.0,644.0,26,adjective + lamp
coffe warmer,21,644.0,644.0,57.0,1000.0,10,mug warmer
cupcakes and cashmere home decor,1,2728.0,412.0,-19.0,151.0,8,house decor
wax warmer timer,4,713.0,368.0,1.0,516.0,8,candle warmer
cute candle warmer,8,820.0,820.0,-8.0,1000.0,11,electric candle warmer
flameless candle warmer lamp,1,367.0,367.0,71.0,1000.0,8,candle lamp
candle lamps for indoor use,1,773.0,436.0,20.0,564.0,8,adjective + lamp
candle warmer lamp rose gold,1,768.0,391.0,7.0,509.0,8,candle lamp
fragrance candle warmer lamp,3,349.0,349.0,-50.0,1000.0,8,candle lamp
crystal candle warmer lamp,12,1342.0,762.0,27.0,568.0,11,candle lamp
candle warmer with timers,3,268.0,268.0,-1.0,1000.0,8,candle warmer
candle warmer men,11,136.0,271.0,95.0,2000.0,8,electric candle warmer
gold candle warmer lamp,21,1915.0,1218.0,52.0,636.0,27,candle lamp
amazon candle warmer,3,561.0,311.0,-4.0,554.0,8,electric candle warmer
vintage lamp for bedroom,5,43.0,429.0,3.0,10000.0,8,adjective + lamp
mens candle warmer,1,320.0,320.0,87.0,1000.0,8,electric candle warmer
candle warmer lamp sale,1,358.0,289.0,50.0,808.0,8,candle lamp
lighted candle warmer lamp,2,648.0,357.0,-4.0,551.0,8,candle lamp
candle warmer for men,6,103.0,413.0,21.0,4000.0,8,electric candle warmer
candle warmer for wax melts,8,156.0,311.0,-6.0,2000.0,8,wax warmer
better homes and gardens candle warmer,2,277.0,277.0,131.0,1000.0,8,electric candle warmer
"yuichoy candle warmer lamp with timer, dimmable electric candle wamer adjustable height, glass moder",8,3169.0,1648.0,52.0,520.0,26,candle warmer
ulg 2 pack candle warmer lamp with dimmer,9,522.0,265.0,-10.0,508.0,8,candle lamp
teen candle warmer,1,453.0,262.0,,579.0,8,electric candle warmer
candle light burner,4,433.0,280.0,,646.0,8,lampara
nvrgiup candle warmer lamp,13,495.0,262.0,14.0,529.0,8,candle lamp
candle warmer under 25,9,364.0,228.0,,626.0,8,electric candle warmer
counter lamps for kitchen,9,525.0,418.0,-31.0,796.0,8,adjective + lamp
candle warmer lamp 2 pack best seller,7,653.0,356.0,-7.0,545.0,8,candle lamp
gifts for a mom,37,11.0,1053.0,37.0,100000.0,25,mom gift
candle warmers with timers,9,289.0,289.0,3.0,1000.0,8,candle warmer
pretty candle warmer,8,265.0,265.0,7.0,1000.0,8,electric candle warmer
hestia candle warmer,4,909.0,420.0,76.0,462.0,8,electric candle warmer
marycele candle warmer lamp with timer,6,1074.0,580.0,17.0,540.0,9,candle warmer
red candle warmer,3,69.0,277.0,,4000.0,8,electric candle warmer
hestia candle warmer lamp,8,403.0,213.0,136.0,529.0,8,candle lamp
candle warmer lamp large,1,384.0,384.0,51.0,1000.0,8,candle lamp
lukasa candle warmer lamp,8,727.0,391.0,-19.0,538.0,8,candle lamp
western candle warmer lamp,7,431.0,274.0,-13.0,635.0,8,candle lamp
candle warmer lamp rechargeable,2,665.0,359.0,4.0,540.0,8,candle lamp
scented wax warmer electric,8,376.0,376.0,1.0,1000.0,8,wax warmer
melt wax warmer,10,85.0,256.0,-8.0,3000.0,8,wax warmer
candle warmer lamp rustic farmhouse,2,651.0,330.0,15.0,507.0,8,candle lamp
candle warmer auto shut off,22,605.0,581.0,71.0,961.0,9,electric candle warmer
candle warmer lamp small,6,372.0,372.0,25.0,1000.0,8,candle lamp
amazon candle warmers,12,1899.0,1052.0,40.0,554.0,25,electric candle warmer
wax candle warmer,31,311.0,1245.0,0.0,4000.0,26,wax warmer
neutral gifts,2,5.0,271.0,29.0,50000.0,8,gift
candle heaters for indoor use,1,461.0,408.0,-8.0,885.0,8,electric candle warmer
cute candle warmer lamp,2,623.0,402.0,7.0,645.0,8,candle lamp
marycele candle warmer,3,667.0,322.0,16.0,483.0,8,electric candle warmer
mid century modern candle warmer,1,635.0,322.0,0.0,507.0,8,electric candle warmer
candle warmer lamp with candle included,11,238.0,238.0,-9.0,1000.0,8,candle lamp
desk lamp candle warmer,2,371.0,235.0,-15.0,634.0,8,candle lamp
cute decor,23,31.0,3128.0,-27.0,100000.0,28,house decor
lámpara para velas de olor,1,946.0,402.0,2.0,425.0,8,lampara
dimmable candle warmer lamp with timer,24,262.0,253.0,11.0,966.0,8,candle warmer
flower candle lamp,3,1404.0,330.0,-18.0,235.0,8,adjective + lamp
candle burners,11,121.0,241.0,23.0,2000.0,8,lampara
scented wax melt warmer,31,274.0,821.0,-12.0,3000.0,11,wax warmer
wax wamer,1,69.0,274.0,-5.0,4000.0,8,wax warmer
euaonya candle warmer lamp,7,683.0,349.0,235.0,511.0,8,candle lamp
candle warmer with timer,215,5813.0,5813.0,59.0,1000.0,32,candle warmer
candlewarmer lamp,14,743.0,424.0,-3.0,571.0,8,adjective + lamp
briever candle warmer lamp,6,927.0,484.0,112.0,522.0,9,candle lamp
lampara de velas,1,333.0,333.0,-16.0,1000.0,8,lampara
flameless candle lamp,6,85.0,424.0,-12.0,5000.0,8,adjective + lamp
candle warmer lamp silver finish,10,841.0,439.0,-5.0,522.0,8,candle lamp
malbella candle warmer lamp,6,507.0,265.0,108.0,523.0,8,candle lamp
scentsy pot,12,1250.0,360.0,-16.0,288.0,8,lampara
wax melter for scented wax,80,2197.0,2197.0,1.0,1000.0,27,wax warmer
clearance candle warmer,1,29.0,289.0,223.0,10000.0,8,electric candle warmer
candle warmer large,7,74.0,372.0,13.0,5000.0,8,electric candle warmer
wireless candle warmer lamp,1,700.0,426.0,3.0,609.0,8,candle lamp
nonvjj candle warmer lamp,7,485.0,247.0,30.0,509.0,8,candle lamp
best candle warmer,4,189.0,378.0,9.0,2000.0,8,electric candle warmer
candle warmer lamp battery operated,9,2201.0,1052.0,-2.0,478.0,25,candle lamp
tulip candle warmer,2,856.0,381.0,5.0,445.0,8,electric candle warmer
candle warmer lamp,2937,470780.0,470780.0,26.0,1000.0,597,candle lamp
christmas for mom gifts,32,6.0,581.0,88.0,100000.0,9,mom gift
wood base candle warmer lamp,7,348.0,232.0,-20.0,666.0,8,candle lamp
rechargeable candle warmer,6,968.0,765.0,-6.0,790.0,11,electric candle warmer
calentador de velas aromáticas electrico,10,966.0,762.0,129.0,789.0,11,lampara
candle warmer lantern with timer,4,489.0,317.0,32.0,648.0,8,candle warmer
wax warmer candle,13,175.0,698.0,-12.0,4000.0,10,wax warmer
candle warmer marycele,6,939.0,402.0,,428.0,8,electric candle warmer
candle lamp adjustable,4,138.0,275.0,,2000.0,8,adjective + lamp
snowman wax warmer,15,827.0,429.0,-29.0,519.0,8,wax warmer
candle warmer flower,10,2095.0,727.0,12.0,347.0,10,electric candle warmer
zukakii candle warmer lamp,14,500.0,265.0,54.0,530.0,8,candle lamp
candle warmer lamp cheap,4,81.0,407.0,-7.0,5000.0,8,candle lamp
candle warmer lamp godonlif,13,528.0,283.0,-6.0,536.0,8,candle lamp
candle warmer for large candles,10,24.0,484.0,4.0,20000.0,9,electric candle warmer
candle warmer lamp timer,39,1164.0,1164.0,87.0,1000.0,26,candle warmer
cordless candle warmer lamp,8,1816.0,1384.0,-1.0,762.0,26,candle lamp
candle warmer lamp glass,2,487.0,311.0,274.0,638.0,8,candle lamp
black and gold candle warmer lamp,8,694.0,372.0,129.0,536.0,8,candle lamp
funistree candle warmer lamp,13,7262.0,1053.0,28.0,145.0,25,candle lamp
gnome candle warmer,3,442.0,268.0,34.0,606.0,8,electric candle warmer
vintage wax warmer,1,423.0,375.0,-2.0,886.0,8,wax warmer
candle warmer lamp wood,7,726.0,516.0,37.0,711.0,9,candle lamp
tart warmers,15,235.0,235.0,-13.0,1000.0,8,mug warmer
yohonk candle lamp warmer,11,1109.0,581.0,,524.0,9,candle lamp
wax warmer with timer,47,4044.0,1650.0,-9.0,408.0,27,candle warmer
candle lamp warmer adjustable with timer,2,379.0,351.0,21.0,925.0,8,candle warmer
candle heat lamp warmer,3,402.0,330.0,,820.0,8,candle lamp
candle decor,1,15.0,1162.0,3.0,80000.0,26,lampara
geezo fragrance candle warmer lamp,29,1347.0,698.0,-3.0,518.0,10,candle lamp
candle warmer lamp modern style,8,356.0,228.0,-4.0,641.0,8,candle lamp
candle warmer lamp auto shut off,9,364.0,274.0,,753.0,8,candle lamp
heat lamp candle warmer,5,429.0,383.0,16.0,893.0,8,candle lamp
candle warmer candles,19,58.0,581.0,46.0,10000.0,9,electric candle warmer
candle warmer wood,1,457.0,392.0,5.0,857.0,8,electric candle warmer
flameless candle warmer,7,86.0,428.0,17.0,5000.0,8,electric candle warmer
mug and candle warmer,1,431.0,250.0,93.0,580.0,8,electric candle warmer
candle warmer lamp silver,22,2574.0,1431.0,16.0,556.0,26,candle lamp
warmer candle lamp,7,396.0,396.0,6.0,1000.0,8,candle lamp
soilsiu candle warmer lamp with timer,4,677.0,352.0,65.0,520.0,8,candle warmer
better homes and gardens candle warmer lamp,2,438.0,235.0,,537.0,8,candle lamp
candle warmer amber,5,219.0,219.0,,1000.0,8,electric candle warmer
mother gifts for christmas,79,19.0,1940.0,78.0,100000.0,27,mom gift
candle warmer electric lantern,7,216.0,216.0,219.0,1000.0,8,electric candle warmer
candle warmer lamp farmhouse,4,641.0,370.0,5.0,577.0,8,candle lamp
candle warmer lamp for men,9,705.0,408.0,25.0,579.0,8,candle lamp
candle warmer lamp teen girl,13,463.0,232.0,-24.0,501.0,8,candle lamp
electric tart warmer,2,357.0,328.0,-3.0,920.0,8,mug warmer
candle warmer lamp for 3 wick candles,22,1095.0,644.0,24.0,588.0,10,candle lamp
candle warmer with marble base,3,829.0,281.0,-7.0,339.0,8,electric candle warmer
yankee candle warmer,19,698.0,698.0,53.0,1000.0,10,electric candle warmer
snowman candle warmer,5,271.0,271.0,9.0,1000.0,8,electric candle warmer
christmas wax melt warmer,10,447.0,389.0,-68.0,871.0,8,wax warmer
tea light warmer,2,32.0,222.0,7.0,7000.0,8,mug warmer
sokcvsea fragrance candle warmer lamp,8,528.0,280.0,-71.0,530.0,8,candle lamp
dimmable candle warmer,15,290.0,289.0,28.0,998.0,8,electric candle warmer
candle warmer lamp for large candles,10,436.0,436.0,13.0,1000.0,8,candle lamp
modern candle warmer lamp with timer,3,261.0,219.0,-7.0,840.0,8,candle warmer
candle warmer lamp bath and body works,5,734.0,402.0,85.0,548.0,8,candle lamp
wax warmwr,9,90.0,360.0,-3.0,4000.0,8,wax warmer
calentador de velas aromáticas,2,530.0,413.0,-20.0,779.0,8,lampara
aromatherapy lamp candle warmer,4,380.0,311.0,46.0,819.0,8,candle lamp
desk candle warmer,2,375.0,375.0,25.0,1000.0,8,electric candle warmer
candle warmer lamp adjustable height,5,1012.0,820.0,74.0,810.0,11,candle lamp
candle light,83,621.0,3724.0,1.0,6000.0,29,lampara
top womens gifts,1,4.0,352.0,27.0,100000.0,8,gift
scent wax warmer,2,132.0,396.0,-13.0,3000.0,8,wax warmer
large candle warmer lamp,2,516.0,516.0,26.0,1000.0,9,candle lamp
godonlif candle warmer lamp with timer,24,337.0,256.0,2.0,759.0,8,candle warmer
home decor christmas gifts,6,3.0,283.0,48.0,100000.0,8,gift
aikut candle warmer lamp,5,683.0,364.0,-15.0,533.0,8,candle lamp
mini candle warmer,3,462.0,362.0,4.0,783.0,8,electric candle warmer
candle lamp warmer with timer,173,3924.0,3924.0,58.0,1000.0,31,candle warmer
candle warmer lamp 3 wick,5,658.0,388.0,18.0,590.0,8,candle lamp
candle warmer lamp seenlast,5,720.0,381.0,-8.0,529.0,8,candle lamp
copinpin candle warmer lamp,8,1014.0,429.0,,423.0,8,candle lamp
candle warmer lamp for tall jar candles,4,317.0,317.0,,1000.0,8,candle lamp
retro candle warmer,1,809.0,389.0,10.0,481.0,8,electric candle warmer
rechargeable candle warmer lamp,1,683.0,388.0,3.0,568.0,8,candle lamp
oil warmer,45,55.0,1652.0,4.0,30000.0,34,mug warmer
hime decor,2,4.0,404.0,-15.0,100000.0,8,house decor
rose gold candle warmer lamp,1,623.0,320.0,90.0,514.0,8,candle lamp
battery candle warmer cordless,1,486.0,330.0,-18.0,679.0,8,electric candle warmer
wax warmers for wax melts electric,2,319.0,319.0,-15.0,1000.0,8,wax warmer
candle warmer lamp dimmable,5,256.0,256.0,78.0,1000.0,8,candle lamp
wax warmer lamp for scented wax,4,343.0,343.0,13.0,1000.0,8,wax warmer
candle warmer large base,12,110.0,219.0,-15.0,2000.0,8,electric candle warmer
adjustable candle lamp,9,255.0,241.0,,945.0,8,adjective + lamp
home gifts,311,51.0,10122.0,140.0,200000.0,36,gift
top gifts,33,14.0,1384.0,77.0,100000.0,26,gift
candle warmer lamp rustic,8,722.0,434.0,14.0,601.0,8,candle lamp
candle warmer lamp glass shade,17,384.0,238.0,539.0,620.0,8,candle lamp
amber candle warmer,6,277.0,277.0,-10.0,1000.0,8,electric candle warmer
candle burner,37,715.0,1429.0,18.0,2000.0,26,lampara
candle warmers for jar candles,42,1455.0,1455.0,30.0,1000.0,26,electric candle warmer
candle warmer lamp boho,1,657.0,354.0,21.0,539.0,8,candle lamp
mushroom candle warmer,11,335.0,213.0,-8.0,636.0,8,electric candle warmer
candle warmer cute,2,375.0,375.0,-2.0,1000.0,8,electric candle warmer
wax and candle warmer,7,39.0,391.0,3.0,10000.0,8,wax warmer
new mom gifts for women,263,145.0,5818.0,58.0,40000.0,33,mom gift
marycele candle warmer lamp,49,4159.0,2196.0,10.0,528.0,27,candle lamp
toacsucp candle warmer lamp,13,803.0,416.0,1.0,518.0,8,candle lamp
candle warmer lamp masculine,1,368.0,256.0,,695.0,8,candle lamp
plug in candle warmer,15,644.0,644.0,10.0,1000.0,10,electric candle warmer
dark academia lamp,3,831.0,399.0,-14.0,480.0,8,adjective + lamp
candle warmer lamp mid century,3,512.0,259.0,-12.0,506.0,8,candle lamp
flower candle warmer,12,2889.0,1384.0,0.0,479.0,28,electric candle warmer
brass candle warmer lamp,1,464.0,274.0,78.0,590.0,8,candle lamp
dimmable flower candle warmer lamp,17,1358.0,762.0,-4.0,561.0,11,candle lamp
heatless candle warmer,1,471.0,265.0,,563.0,8,electric candle warmer
candle light lamp,5,37.0,370.0,18.0,10000.0,8,adjective + lamp
nice gifts,12,2.0,429.0,57.0,200000.0,8,gift
candeldo candle warmer lamp,5,772.0,423.0,-57.0,548.0,8,candle lamp
led candle warmer lamp,3,547.0,373.0,19.0,682.0,8,candle lamp
pink flower candle warmer lamp,5,638.0,241.0,,378.0,8,candle lamp
green candle warmer,5,218.0,436.0,-2.0,2000.0,8,electric candle warmer
heated candle warmer lamp,7,448.0,410.0,8.0,916.0,8,candle lamp
candle warmer glass,1,250.0,250.0,147.0,1000.0,8,electric candle warmer
fragrance warmer wax melter,2,364.0,364.0,8.0,1000.0,8,wax warmer
lamp candle warmer for jar candles,53,3125.0,3125.0,43.0,1000.0,29,candle lamp
candle warmer 3 wick,10,485.0,394.0,61.0,813.0,8,electric candle warmer
women home gifts,7,2.0,235.0,,100000.0,8,gift
cozy kitchen decor,1,7.0,400.0,-20.0,60000.0,8,house decor
marble base candle warmer lamp,45,4183.0,2196.0,54.0,525.0,27,candle lamp
candle warmer base,13,225.0,225.0,23.0,1000.0,8,electric candle warmer
candle warmer lamp under 20,3,685.0,378.0,157.0,552.0,8,candle lamp
candle warmer adjustable,4,418.0,402.0,8.0,961.0,8,electric candle warmer
dimmable flower candle warmer lamp with timer,16,411.0,222.0,-7.0,540.0,8,candle warmer
candle burner plate,9,418.0,228.0,25.0,545.0,8,lampara
candle warmer lamp farmhouse style,6,1154.0,644.0,31.0,558.0,10,candle lamp
heat lamp for candle,6,281.0,253.0,,900.0,8,candle lamp
