"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
floral lamp,花灯,,0.02%,自然搜索词,"2,028 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"280,253","4,063 ",18 ,0.46%,"88,508 ","1,906 ",1 ,3 ,"4,292 ",1.0 ,29 ,21.3%,25.0%,$0.83,$0.58 - $1.15,B0CGTJRVGK,9.4%,12.5%,B09TW285ND,6.8%,0.0%,B0CQK613S1,5.1%,12.5%,"B0CWNVV16D,B09TW285ND,B0CQK613S1,B0BW5K77DR,B08XQ1RY54,B08P25FP75,B00H84JBOC,B0D26222CS,B074N4XPYZ,B0BG761237"
cozy lighting,舒适的灯光,,0.02%,自然搜索词,"2,024 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"274,143","7,749 ",44 ,0.57%,"224,668 ","3,696 ",1 ,1 ,"18,241 ",0.4 ,14 ,14.2%,23.1%,$0.44,$0.34 - $0.56,B0BDRSG2BT,5.4%,7.7%,B0CST6LXY7,5.0%,7.7%,B0CSJRZS97,3.8%,7.7%,"B099WTN2TR,B08Y8MXQ9P,B0BDRSG2BT,B09GK2RMNF,B0BWFJNBYQ,B0CST6LXY7,B07SM6G1PD,B07X11X5QX,B099MV5XMX,B07L3TT4TQ"
women birthday gifts,女人的生日礼物,,0.02%,自然搜索词,"2,020 ",2 ,B0CDRDK6MR/B0CGZS5129,"159,330","15,415 ","1,319 ",8.56%,"424,588 ","7,175 ",30 ,2 ,"214,216 ",0.1 ,28 ,20.0%,8.6%,$1.49,$0.86 - $1.66,B07T2S93Z8,12.7%,4.9%,B0CBJMBLWS,4.4%,3.7%,B0CJT1F4SR,2.9%,0.0%,"B07SM61FCT,B01MFGN8S5,B00RYURH8M,B0CBJMBLWS,B0C7QZP3CS,B0CS66YDVG,B0813NPTWB,B08BC88KG1,B0BX6B67T8,B07GBFT6Z3"
farmhouse home decor,农舍家居装饰,,0.02%,视频广告词,"2,019 ",3 ,B0CDRDK6MR/B0CTJGJL2T/B0C27FG8L9,"198,461","4,347 ",166 ,3.84%,"117,827 ","1,830 ",4 ,1 ,"120,074 ",0.0 ,203 ,11.2%,0.0%,$1.24,$0.93 - $1.54,B091YHY2CF,4.6%,0.0%,B0BGSG7C5P,4.2%,0.0%,B07DQCJ84X,2.4%,0.0%,"B0B27WGC8Q,B07DQCJ84X,B09H5JZC97,B091YHY2CF,B088GJ7ZM7,B0C2PS76FG,B0C4SZBN64,B08YQRPYPS,B08ZSXD1BR,B07TMZR8B1"
candle warmer cordless,蜡烛加热器无绳,,0.02%,自然搜索词/HR推荐词,"2,018 ",9 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CTJGJL2T/B0CDRDK6MR/B0CZ9F35PT/B0C27FG8L9/B0CGZS5129,"807,243","1,534 ",55 ,3.64%,"39,591 ",759 ,2 ,0 ,"1,513 ",1.0 ,37 ,37.0%,0.0%,$0.57,$0.43 - $0.73,B0B1TGKYBV,22.2%,0.0%,B0BQ3FYXRY,8.6%,0.0%,B012E36JZ0,6.2%,0.0%,"B0CTJGJL2T,B0B1TGKYBV,B01N9Y6077,B0D9HPTW4G,B0CCYCBRSK,B0BWJRJYS7,B0BZPH17TR,B09BVR2Q9N,B0DHWTSWBR,B0CHN15LWF"
mother gift,妈妈的礼物,,0.02%,自然搜索词,"2,004 ",2 ,B0CXJ9338V/B0CDRDK6MR,"284,088","4,516 ",239 ,5.31%,"118,745 ","2,069 ",6 ,1 ,"201,934 ",0.0 ,88 ,14.6%,8.9%,$2.05,$1.74 - $2.73,B0C1NJSCRD,5.2%,3.6%,B07W65KFG6,4.7%,3.6%,B0CFXFBG4L,4.7%,1.8%,"B0CFXFBG4L,B089D3Q24T,B0BWJRJYS7,B0CYKXR86N,B07G142F9Z,B0CQCCB95G,B01MFGN8S5,B0BR41SJYD,B07S651GSW,B09JNRXJD6"
candle warmer lamp for large candles,,,0.02%,自然搜索词,"1,993 ",10 ,B0CZ9F35PT/B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CFLRBTYN/B0CDRDK6MR,"985,300",456 ,14 ,3.28%,"12,789 ",221 ,1 ,0 ,"1,336 ",0.3 ,4 ,33.3%,10.0%,,-,B0D3PNBMMS,21.2%,10.0%,B0CP95C852,7.6%,0.0%,B0CMCX57ZS,4.6%,0.0%,"B0CTJGJL2T,B0CF9TL3V8,B0BWJRJYS7,B0CP95C852,B0BZPCGBYT,B0CXJ9338V,B0B5G39GDP,B0CGZS5129,B0CZ9DDMKP,B0CCYCBRSK"
candles for candle warmer lamp,,,0.02%,自然搜索词,"1,989 ",9 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0CFLRBTYN,"970,983",140 ,4 ,3.42%,"3,166 ",64 ,1 ,0 ,"1,767 ",0.1 ,6 ,31.4%,20.0%,,-,B0CC98RMFT,11.9%,6.7%,B0D7D3WG2N,10.5%,13.3%,B0CXPF5XTJ,9.0%,0.0%,"B0CRNM8CS7,B0CR7L79Q2,B0CMHQWM24,B07HJB8LMD,B0D7D3WG2N,B0CTJGJL2T,B0CNR9SF74,B0D9HPTW4G,B0CDRDK6MR,B0CCYCBRSK"
older women gift ideas,老年妇女礼物的想法,,0.02%,自然搜索词,"1,983 ",2 ,B0CDRDK6MR/B0C27FG8L9,"162,060","6,319 ",509 ,8.07%,"173,212 ","2,726 ",12 ,0 ,"25,320 ",0.3 ,120 ,11.2%,3.1%,$1.52,$1.02 - $2.07,B07GV56HH8,4.5%,0.0%,B09JNRXJD6,4.0%,2.1%,B08J5HLXRD,2.7%,1.0%,"B004EDWMBO,B07SM61FCT,B0CHMDT2FM,B01AHPCL4U,B091ZFL4X5,B081D78MCJ,B0872Y3HJC,B08J5HLXRD,B0009F3R7E,B07GV56HH8"
glass lamp,玻璃灯,,0.02%,自然搜索词,"1,965 ",4 ,B0CGZS5129/B0CDRDK6MR/B0C27FG8L9/B0CZ9F35PT,"117,421","15,739 ",289 ,1.84%,"377,731 ","6,113 ",7 ,8 ,"5,001 ",3.2 ,106 ,16.1%,9.5%,$0.91,$0.74 - $1.20,B0BR367Z32,6.2%,0.0%,B0845YL17M,6.0%,9.5%,B08D6WGJC4,3.8%,0.0%,"B08D6WGJC4,B07RG7Y3NS,B0BR367Z32,B08LNXB8BF,B07B5W7KBX,B07WXZGQNZ,B08LNX5HDN,B09D2VR3S3,B077MRJ638,B07RLM2N2W"
mood lamp,情绪灯,,0.02%,自然搜索词/SP广告词,"1,965 ",2 ,B0CTJGJL2T/B0CGZS5129,"107,231","15,138 ",211 ,1.40%,"311,916 ","6,725 ",5 ,5 ,"17,147 ",0.9 ,62 ,25.8%,20.0%,$1.25,$1.07 - $1.37,B0925LXDSG,11.5%,8.9%,B07KRY43KN,8.2%,0.0%,B0CK1BK9V2,6.0%,11.1%,"B07TBCFL6B,B079YBGPM5,B099WTN2TR,B0BCWCLJ4R,B0925LXDSG,B0CK1BK9V2,B0BR5JHB3Z,B07SM6G1PD,B002LZUE76,B0BXWQHYVQ"
room accessories for men,男士房间配饰,,0.02%,自然搜索词,"1,962 ",1 ,B0C2771TLS,"52,973","23,433 ",72 ,0.31%,"601,888 ","10,312 ",2 ,0 ,"87,886 ",0.3 ,143 ,15.5%,6.8%,$0.94,$0.70 - $1.19,B0BC91YVXF,7.4%,1.7%,B0B6ZWHXXJ,4.7%,0.0%,B08J6NQMQ5,3.5%,5.1%,"B08DFLJL24,B00IKCCWXS,B09ZRT5QPG,B0BZL2ZP3B,B0CLP1WL5J,B08KJJFFY8,B0C9ZGSWXG,B08J6NQMQ5,B098JC7BW8,B07K968H2M"
cool work from home gifts,,,0.02%,自然搜索词,"1,961 ",3 ,B0C27FG8L9/B0CGZS5129/B0C2771TLS,"123,027","13,347 ",395 ,2.96%,"396,061 ","6,430 ",9 ,0 ,"41,391 ",0.3 ,47 ,18.7%,13.5%,$0.97,$0.73 - $1.21,B0CP26KGWD,8.6%,11.5%,B0CH2PHXBD,6.3%,0.0%,B08FDFRKR3,3.8%,1.9%,"B0B9XRW69G,B07DR9SPGT,B0B7HZNMPZ,B07SM61FCT,B08GC1G4Y9,B00I4HV3TS,B0C27FG8L9,B0C2BJ26P7,B0BZH82Z69,B0D25XZ7YS"
a wax melt warmer,,,0.02%,自然搜索词/SP广告词,"1,958 ",5 ,B0CQQLYD3W/B0CDRDK6MR/B0CTJGJL2T/B0CXJ9338V/B0CZ9F35PT,"301,771","3,905 ",134 ,3.44%,"85,009 ","1,539 ",4 ,2 ,"3,215 ",1.2 ,20 ,15.6%,12.0%,,-,B09WZWWT8S,7.3%,8.0%,B07TGBX8RW,4.1%,4.0%,B0BXXFPK2D,4.1%,0.0%,"B092V4R468,B09BVR2Q9N,B0CYLMZYD6,B0BXXFPK2D,B09WZWWT8S,B0BYJHR6LD,B0CBMCBCLB,B097K294LR,B08PNP2LNL,B0BZSLRCXK"
flower lamp candle warmer,花灯蜡烛加热器,,0.02%,视频广告词,"1,957 ",10 ,B0CQQLYD3W/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C2771TLS/B0CFLRBTYN/B0CTJGJL2T/B0CXJ9338V/B0DDX8MYKQ,"572,790","1,326 ",41 ,3.13%,"30,516 ",586 ,1 ,0 ,566 ,2.3 ,21 ,41.7%,18.2%,$1.37,$0.85 - $1.69,B0BZ53N7RL,20.0%,9.1%,B0C7K6HG74,13.9%,9.1%,B0CGZS5129,7.8%,0.0%,"B0CJRDJ8N6,B0C7K6HG74,B0CRD6RYYC,B0DGKDVLGS,B0D3PKRCW3,B0D3KS6QTH,B0BZ53N7RL,B0C27FG8L9,B0CGZS5129,B0D3PWMGX2"
vintage candle holder,复古烛台,,0.02%,视频广告词,"1,955 ",6 ,B0CDRDK6MR/B0C27FG8L9/B0CTJGJL2T/B0CGZS5129/B0C2771TLS/B0CZ9F35PT,"234,323","7,722 ",262 ,3.40%,"176,423 ","3,615 ",6 ,2 ,"5,885 ",1.3 ,38 ,17.1%,7.1%,$0.77,$0.61 - $0.87,B0CNLX2V7T,8.9%,7.1%,B07B44KF34,4.3%,0.0%,B09T3T3NXQ,3.9%,0.0%,"B07W554ZNB,B09LM9Q5HB,B09LMC5JLX,B09NTHDNVZ,B0BJGXKD9H,B07W7KWNY6,B09MF9W6T1,B0CBSL1N1R,B0CNLX2V7T,B0D9YH393H"
gifts for couples who have everything,送给拥有一切的情侣的礼物,,0.02%,自然搜索词,"1,950 ",1 ,B0C27FG8L9,"49,596","20,921 ",125 ,0.60%,"427,848 ","9,777 ",3 ,0 ,"1,974 ",10.6 ,72 ,11.2%,8.5%,$0.65,$0.43 - $1.01,B07DL7ZV31,3.9%,2.3%,B08YWP5QRF,3.8%,5.0%,B0C7GL9VFZ,3.5%,1.2%,"B0BRNZ6FSW,B01E4LWBLQ,B0CMVLDKYM,B08TFJP127,B09STRNVXS,B087Q6NV9V,B0B4X5SLKC,B07G1P9SFL,B0C5LRR1ZY,B08R79ZDMB"
gifts for best friends women,给最好的朋友女性的礼物,,0.02%,自然搜索词,"1,941 ",1 ,B0CDRDK6MR,"153,335","6,995 ",812 ,11.62%,"160,403 ","2,906 ",19 ,4 ,"117,481 ",0.1 ,47 ,13.7%,6.3%,$0.56,$0.34 - $0.75,B0CW6B5HS9,4.7%,0.9%,B0CJBGQ4JS,4.5%,3.6%,B09KXJD73G,4.5%,1.8%,"B0CJBGQ4JS,B0CB1B4SNP,B09Z83JHZT,B083QGXVXB,B000CQX62G,B07XF3KGP9,B0B92W8B27,B0BQ2TZ1NV,B0D77FFH7R,B09WDN49WS"
white elephant gifts,白色大象的礼物,,0.02%,SP广告词,"1,940 ",2 ,B0CXJ9338V/B0CDRDK6MR,"1,826","289,651 ","2,954 ",1.02%,"8,231,026 ","136,276 ",67 ,29 ,"31,802 ",9.1 ,299 ,10.5%,3.8%,$1.65,$1.07 - $2.02,B0CKV9Q88Q,4.3%,1.5%,B0CH9TWC91,3.8%,1.1%,B0754Y9GNH,2.4%,1.2%,"B07KRCGWHR,B005Q8X6IO,B0CJKTBMZM,B09ZPVDM69,B001XSFW42,B07TS96J7Q,B00BTIUYOO,B07NWDSVPP,B08KW1KR5H,B0754Y9GNH"
gold table decor,金餐桌装饰,,0.02%,自然搜索词,"1,938 ",2 ,B0CDRDK6MR/B0CGZS5129,"201,554","7,882 ",89 ,1.14%,"233,654 ","3,374 ",3 ,3 ,"50,042 ",0.2 ,122 ,13.8%,19.6%,$0.74,$0.56 - $0.93,B09PRGS957,7.1%,6.5%,B01MTV74L8,3.4%,8.7%,B08356STDM,3.4%,4.4%,"B08MLGXSPH,B09PRGS957,B07W554ZNB,B08SCHZB81,B09M9YKLQR,B01KJBWOI0,B07Q1N1QMK,B0B3XLTBMN,B08356STDM,B09W858541"
livingroom decor and accessories,,,0.02%,自然搜索词,"1,926 ",2 ,B0C2771TLS/B0C27FG8L9,"110,701","7,638 ",240 ,3.15%,"202,595 ","3,649 ",6 ,0 ,"36,800 ",0.2 ,37 ,12.4%,0.0%,,-,B09NC1VGTW,4.7%,0.0%,B0BTRZBGGZ,4.3%,0.0%,B09KGVJNRW,3.5%,0.0%,"B099WTN2TR,B07DQCJ84X,B09Y8SV5RY,B01GIJBK50,B0BWDK5RNZ,B0BTRZBGGZ,B084RCCDXK,B09NC1VGTW,B0BXWQHYVQ,B0C9T1SB3D"
battery lamp,电池灯,,0.02%,自然搜索词,"1,920 ",1 ,B0CGZS5129,"48,608","32,599 ",642 ,1.97%,"656,478 ","13,822 ",15 ,2 ,"36,055 ",0.9 ,138 ,16.0%,12.2%,$1.27,$1.13 - $1.47,B0CST11D1Z,6.9%,6.1%,B07DPCKBB1,4.9%,5.2%,B0D5Y887YP,4.2%,0.9%,"B09Z7YWHRY,B0BR3R7GHN,B0CST11D1Z,B0D5Y887YP,B07DPCKBB1,B0B8GVVR1B,B082HD5JDH,B0CHHJG2YZ,B0CWNGNBM8,B00XM8HTIS"
art deco decor,艺术装饰,,0.02%,自然搜索词/SP广告词,"1,915 ",1 ,B0CGZS5129,"160,948","8,415 ",289 ,3.44%,"231,543 ","3,260 ",7 ,0 ,"78,823 ",0.1 ,91 ,14.4%,14.3%,$0.60,$0.44 - $0.75,B091B7V5FC,5.5%,7.1%,B09SB4Y4WG,5.0%,7.1%,B0BQBVHWTQ,4.0%,0.0%,"B09SB4Y4WG,B004X9YABE,B091B7V5FC,B0BQBVHWTQ,B0CJF8V52W,B001B9ELOA,B07VFQLS1P,B08L42JZ7B,B09F2PMZ5N,B007R8Q3SG"
neutral bedroom decor,中性卧室装饰,,0.02%,自然搜索词/HR推荐词/SP广告词,"1,912 ",2 ,B0CGZS5129/B0CDRDK6MR,"294,354","2,936 ",7 ,0.26%,"87,159 ","1,437 ",1 ,0 ,"25,815 ",0.1 ,82 ,19.6%,0.0%,$0.85,$0.50 - $0.98,B0BYSQPLJN,7.6%,0.0%,B08PBG6QHZ,6.3%,0.0%,B0C4D7ZYMM,5.8%,0.0%,"B07D7722Y8,B0BLK33HK4,B0DFWLV3XW,B08PBG6QHZ,B0BYSQPLJN,B0CMTB1YHN,B083LG33T8,B0C4SZBN64,B0CKXC86CJ,B096XYXY5H"
"gift ideas, for women 20s",礼物创意，适合 20 多岁的女性,,0.02%,自然搜索词,"1,911 ",1 ,B0C27FG8L9,"155,982","26,871 ",841 ,3.13%,"742,466 ","10,986 ",20 ,0 ,"1,003 ",26.8 ,153 ,13.0%,5.5%,$1.59,$1.19 - $1.99,B0BWJ7W36N,5.5%,3.6%,B0B7BP6CJN,4.3%,1.8%,B0C6H3SCK9,3.1%,0.0%,"B0BZZMG39M,B0BWJ7W36N,B08LMT1189,B07D29P5Z1,B004EDWMBO,B06XY32DP9,B08SWFJLDL,B07JHN77L3,B08VD26L2F,B00V155S46"
urban outfitters home decor,城市户外用品商家居装饰,,0.02%,自然搜索词/视频广告词,"1,905 ",4 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CXJ9338V,"300,262","4,809 ",152 ,3.18%,"140,241 ","2,097 ",4 ,0 ,314 ,15.3 ,2 ,11.8%,0.0%,$0.80,$0.60 - $1.00,B0BV6YJQ6D,5.5%,0.0%,B0CG3Q4H5Q,3.6%,0.0%,B09D36P18V,2.7%,0.0%,"B0BV6YJQ6D,B0CG3Q4H5Q,B0CD2LRVP5,B0077AM71Q,B0C6SSBMWZ,B0CCCYJBR5,B089M47SGG,B01HDWDTGY,B01HNCVB4G,B00RE0M1O2"
mothers christmas gifts,妈妈们的圣诞礼物,,0.02%,自然搜索词,"1,903 ",1 ,B0CDRDK6MR,"160,753","5,691 ","5,691 ",100.00%,"145,868 ","2,549 ",129 ,0 ,"191,275 ",0.0 ,56 ,16.1%,11.4%,$1.92,$1.10 - $2.25,B0C1NJSCRD,5.7%,1.3%,B091Q17CGW,5.4%,7.6%,B07GBFT6Z3,4.9%,2.5%,"B0BWJRJYS7,B0193XJZ1Y,B07GBFT6Z3,B07G142F9Z,B07SM61FCT,B0B5R3MPGQ,B0CFXFBG4L,B0CH8LYF42,B07JHN77L3,B0953MZ7X4"
candle wax melt warmer,蜡烛蜡熔化加热器,,0.02%,自然搜索词,"1,894 ",8 ,B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CZ9F35PT/B0C2771TLS/B0CDRDK6MR,"752,822","2,206 ",67 ,3.07%,"64,280 ",968 ,2 ,2 ,"5,739 ",0.4 ,23 ,20.7%,18.8%,$0.92,$0.58 - $1.16,B09WZWWT8S,6.9%,6.3%,B0BYJHR6LD,6.9%,6.3%,B0CKSRQVYJ,6.9%,6.3%,"B0BWJRJYS7,B0CXJ9338V,B09BVR2Q9N,B0CTJGJL2T,B0CHN15LWF,B0CQQLYD3W,B01N9Y6077,B0CNGK5WT2,B0BZ7ZDVRW,B09WZWWT8S"
practical gifts for women,实用的女性礼物,,0.02%,自然搜索词,"1,882 ",4 ,B0C27FG8L9/B0CGZS5129/B0C2771TLS/B0CDRDK6MR,"119,827","16,437 ",936 ,5.70%,"429,109 ","8,170 ",22 ,0 ,"96,720 ",0.2 ,79 ,10.8%,5.7%,$2.11,$1.79 - $2.35,B0BWJ7W36N,5.4%,1.1%,B0754MHLJP,3.0%,2.3%,B0CHMDT2FM,2.4%,2.3%,"B07SM61FCT,B08BC88KG1,B08RNBCH6K,B09JT15JQF,B0BX92ZT75,B0BJYCRS51,B0BWJRJYS7,B08GHNRG5Q,B0C6PLMT6X,B0C7R25898"
best gifts for mom,给妈妈最好的礼物,,0.02%,自然搜索词,"1,873 ",4 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0C2771TLS,"168,470","5,719 ",299 ,5.24%,"160,002 ","2,261 ",7 ,0 ,"127,361 ",0.0 ,74 ,10.9%,5.6%,$2.36,$1.79 - $2.68,B07SM61FCT,4.7%,1.1%,B0CV7Z3MLD,3.4%,0.0%,B08F29WY44,2.8%,4.4%,"B089D3Q24T,B07SM61FCT,B09MQ5L5N9,B09RN1ZH6L,B091ZFL4X5,B0CHMDT2FM,B0BJYCRS51,B0CH8LYF42,B083X648R2,B08BC88KG1"
flower light,花灯,,0.02%,自然搜索词,"1,862 ",2 ,B0C27FG8L9/B0CGZS5129,"293,976","3,013 ",21 ,0.71%,"61,995 ","1,432 ",1 ,7 ,"34,156 ",0.1 ,73 ,26.8%,14.3%,$0.50,$0.37 - $0.63,B0C4262S28,12.5%,14.3%,B0CWNVV16D,8.9%,0.0%,B074N4XPYZ,5.4%,0.0%,"B0CWNVV16D,B0BG761237,B0C4262S28,B0CQ4Q7YDC,B074N4XPYZ,B0B4HBGS9G,B07WMZN7Q1,B0B8CDTKN8,B07ZR8RRX5,B07HKFHM5B"
antique home decor,古色古香的家居装饰,,0.02%,自然搜索词/视频广告词,"1,859 ",4 ,B0CQQLYD3W/B0CGZS5129/B0CDRDK6MR/B0C27FG8L9,"438,432","2,232 ",4 ,0.20%,"56,015 ","1,100 ",1 ,0 ,"78,686 ",0.0 ,31 ,11.3%,20.0%,$0.86,$0.64 - $1.08,B003UCBHES,4.0%,0.0%,B07F31FSC6,4.0%,0.0%,B07YW9Z7NS,3.3%,20.0%,"B07YW9Z7NS,B0BG7D7JGS,B07F31FSC6,B0BZ53N7RL,B0D8G9FSZ3,B09LQJBCT7,B0CGY17ZHG,B00MJ4TQZU,B09BDFSD9Z,B07NY5KKQD"
wax melt warmer with timer,带定时器的蜡熔化加热器,,0.02%,自然搜索词,"1,850 ",8 ,B0C2771TLS/B0CTJGJL2T/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CXJ9338V/B0CZ9F35PT,"308,922","5,799 ",434 ,7.50%,"138,993 ","2,264 ",10 ,18 ,522 ,11.1 ,21 ,21.5%,21.6%,$0.55,$0.40 - $0.79,B0C1WPL1YN,7.9%,2.7%,B0D4M576B7,7.5%,13.5%,B0CG92C75H,6.1%,5.4%,"B0CHN15LWF,B0BWJRJYS7,B0CDRDK6MR,B0D4M576B7,B0D8JH8PKN,B0CXJ9338V,B0CG92C75H,B0CS2T2HZ7,B0CGZS5129,B0CLLGK6SD"
candle warmer silver,银色蜡烛加热器,,0.02%,自然搜索词,"1,846 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C27FG8L9/B0C2771TLS/B0CFLRBTYN,"744,278","1,649 ",59 ,3.59%,"37,630 ",668 ,2 ,0 ,511 ,3.2 ,21 ,30.7%,25.0%,$1.54,$1.17 - $1.91,B0DFCTWQDW,17.1%,0.0%,B0BGLR14SG,8.0%,25.0%,B0CHB2G96S,5.7%,0.0%,"B0C4KDX6H8,B0CLXKJQJJ,B0CFQXGCT6,B0DF1DC9K3,B0DFCTWQDW,B0CG8J41Q5,B0CFTHVHS7,B06XMYPZN8,B0BGLR14SG,B0CG37FW5P"
candle warmer lamp wood,木质蜡烛加热器,,0.02%,自然搜索词/SP广告词,"1,841 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CZ9F35PT/B0CDRDK6MR/B0C27FG8L9/B0CFLRBTYN,"848,024",856 ,27 ,3.17%,"20,579 ",361 ,1 ,0 ,695 ,1.2 ,22 ,20.8%,28.6%,$1.41,$0.97 - $1.98,B0C27GJZ4S,9.1%,0.0%,B0CCYCBRSK,6.5%,28.6%,B0D6FQXWLD,5.2%,0.0%,"B0C27GJZ4S,B0BQ6MTV44,B0CWGHW6VS,B0CT8Q13CQ,B0C61PCC2F,B0CCYCBRSK,B0D6FQXWLD,B0CFLS7VHR,B0D3J43M4W,B08PPYNJMX"
bookish decor,书本装饰,,0.02%,自然搜索词/视频广告词,"1,829 ",2 ,B0C27FG8L9/B0CGZS5129,"303,367","3,072 ",82 ,2.69%,"63,708 ","1,177 ",2 ,10 ,"2,437 ",1.3 ,31 ,24.0%,16.7%,$0.93,$0.70 - $1.16,B0D8B44DHQ,11.5%,16.7%,B0CM6F3Z8L,8.8%,0.0%,B0BCKZCV2D,3.7%,0.0%,"B099PQB6TZ,B0BCKZCV2D,B0DC6PBXCP,B0CM91FYWV,B0D9VF1K76,B008NBUCGA,B0C2Q9CJ5W,B00PGHS0BI,B0D8B44DHQ,B0CPY54W91"
things for mom,给妈妈的东西,,0.02%,自然搜索词,"1,828 ",1 ,B0C27FG8L9,"160,472","4,787 ",213 ,4.47%,"136,322 ","2,366 ",5 ,0 ,"50,922 ",0.1 ,28 ,16.3%,10.1%,$2.57,$1.94 - $3.23,B0CS3VC7X2,8.9%,7.6%,B09ZL8BWDF,3.9%,1.3%,B0CL8KH73G,3.5%,1.3%,"B09ZL8BWDF,B0CYM8D2DK,B0C6DH1TKC,B08TQKC6PQ,B0CP9Z56SW,B0813NPTWB,B07P8395DZ,1601065655,B07Y7ZQ265,B0BTBG3SJV"
gift for mother,给妈妈的礼物,,0.02%,自然搜索词,"1,823 ",2 ,B0CXJ9338V/B0CDRDK6MR,"222,472","4,156 ",142 ,3.44%,"111,791 ","1,693 ",4 ,0 ,"204,922 ",0.0 ,58 ,13.6%,8.8%,$1.87,$1.39 - $2.33,B07G142F9Z,4.8%,2.9%,B091ZFL4X5,4.4%,2.9%,B0CV7Z3MLD,4.4%,2.9%,"B0BR41SJYD,B089D3Q24T,B07SM61FCT,B01MFGN8S5,B07S651GSW,B00RYURKES,B09JNRXJD6,B0BWJRJYS7,B0C6DH1TKC,B091ZFL4X5"
last minute christmas gifts for mom,给妈妈的最后一分钟圣诞礼物,,0.02%,自然搜索词,"1,820 ",1 ,B0CDRDK6MR,"162,001",,,,,,1 ,0 ,"15,069 ",0.0 ,24 ,12.9%,6.5%,,-,B0DCG81DD4,5.0%,1.3%,B091ZFL4X5,4.5%,5.2%,B07S651GSW,3.5%,0.0%,"B0CKT1YVVQ,B07FNGP1SV,B091ZFL4X5,B0BF4KT6CV,B09CYRXHB2,B0CGZV9FLB,B09FSFXR4X,B09QC6HFBM,B0BMQ9JV6P,B0872Y3HJC"
room accessories for women,女性房间配饰,,0.02%,自然搜索词,"1,817 ",2 ,B0C27FG8L9/B0CGZS5129,"301,398","3,805 ",73 ,1.93%,"97,827 ","1,775 ",2 ,0 ,"112,878 ",0.0 ,15 ,16.4%,37.5%,$0.33,$0.23 - $0.37,B0CN11479K,8.2%,12.5%,B0BG46KCCH,4.6%,12.5%,B0CD7RRYSR,3.7%,12.5%,"B07GRL1SFG,B0BMLQK6Y5,B0CN11479K,B0932M1666,B09TSFZ6RB,B0BSD676SQ,B0CD59K7PX,B0CG6NJTZ2,B08DFLJL24,B0CG3Q4H5Q"
christmas wax warmer,圣诞蜡加热器,,0.02%,自然搜索词,"1,817 ",8 ,B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0C2771TLS/B0CXJ9338V/B0C27FG8L9,"277,644","76,186 ",830 ,1.09%,"2,090,453 ","37,058 ",19 ,35 ,"4,220 ",18.1 ,28 ,29.5%,20.0%,$0.81,$0.61 - $1.00,B0CB86MLTP,11.0%,10.0%,B09JF2LVD9,10.5%,3.3%,B07SM1HD8Y,8.0%,6.7%,"B09JF2LVD9,B0CDMHD6PT,B0CKF67TTB,B0CB86MLTP,B09JFCC3DC,B0DBLMSDH6,B0CC29SX3B,B0CFWG7QJB,B0DB8C9F53,B09KHJPZJ5"
